Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
12,Josh Jacobs,LV,SEA,RB,-,-,-,229,2,6,74,-,-,-,-,-,48.3
12,Miles Sanders,PHI,GB,RB,-,-,-,143,2,3,17,-,-,-,-,-,31
12,Josh Allen,BUF,DET,QB,253,2,1,78,1,-,-,-,-,-,-,-,29.92
12,Jalen Hurts,PHI,GB,QB,153,2,-,157,-,-,-,-,-,-,-,-,29.82
12,Justin Jefferson,MIN,NE,WR,11,-,-,-,-,9,139,1,-,-,-,-,29.34
12,Chris Godwin,TB,CLE,WR,-,-,-,-,-,12,110,1,-,-,-,-,29
12,Justin Herbert,LAC,ARI,QB,274,3,-,38,-,-,-,-,-,-,1,-,28.76
12,Amon-Ra St. Brown,DET,BUF,WR,-,-,-,7,-,9,122,1,-,-,-,-,27.9
12,Zay Jones,JAX,BAL,WR,-,-,-,-,-,11,145,-,-,-,1,-,27.5
12,Garrett Wilson,NYJ,CHI,WR,-,-,-,-1,-,5,95,2,-,-,-,-,26.4
12,Kyler Murray,ARI,LAC,QB,191,2,1,56,1,-,-,-,-,-,-,-,25.24
12,Austin Ekeler,LAC,ARI,RB,-,-,-,20,-,11,60,1,-,-,-,-,25
12,Trevor Lawrence,JAX,BAL,QB,321,3,-,1,-,-,-,-,-,-,1,1,24.94
12,Mike White,NYJ,CHI,QB,315,3,-,2,-,-,-,-,-,-,-,-,24.8
12,Tee Higgins,CIN,TEN,WR,-,-,-,-,-,7,114,1,-,-,-,-,24.4
12,Mac Jones,NE,MIN,QB,382,2,-,-,-,-,-,-,-,-,-,-,23.28
12,Lamar Jackson,BAL,JAX,QB,254,1,-,89,-,-,-,-,-,-,1,1,23.06
12,Isaiah McKenzie,BUF,DET,WR,-,-,-,7,-,6,96,1,-,-,-,-,22.3
12,Kirk Cousins,MIN,NE,QB,299,3,1,-1,-,-,-,-,-,-,-,-,21.86
12,Stefon Diggs,BUF,DET,WR,-,-,-,-,-,8,77,1,-,-,-,-,21.7
12,Adam Thielen,MIN,NE,WR,-,-,-,-,-,9,61,1,-,-,-,-,21.1
12,James Conner,ARI,LAC,RB,-,-,-,120,-,3,20,1,-,-,-,1,21
12,Christian Watson,GB,PHI,WR,-,-,-,-,-,4,110,1,-,-,-,-,21
12,Derek Carr,LV,SEA,QB,295,3,2,10,-,-,-,-,-,-,-,-,20.8
12,JaMycal Hasty,JAX,BAL,RB,-,-,-,28,-,5,67,1,-,-,-,-,20.5
12,Brian Robinson,WAS,ATL,RB,-,-,-,105,-,2,20,1,-,-,-,-,20.5
12,DeAndre Carter,LAC,ARI,WR,-,-,-,-,-,7,73,1,-,-,-,-,20.3
