Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
2,Derrick Henry,TEN,BUF,RB,-,-,-,25,1,-,-,-,-,-,-,-,8.5
2,Travis Etienne,JAX,IND,RB,-,-,-,20,-,3,33,-,-,-,-,-,8.3
2,Cam Akers,LA,ATL,RB,-,-,-,44,-,2,18,-,-,-,-,-,8.2
2,Travis Homer,SEA,SF,RB,-,-,-,9,-,4,33,-,-,-,-,-,8.2
2,Eno Benjamin,ARI,LV,RB,-,-,-,31,-,3,20,-,-,-,-,-,8.1
2,AJ Dillon,GB,CHI,RB,-,-,-,61,-,1,6,-,-,-,-,-,7.7
2,Nyheim Hines,IND,JAX,RB,-,-,-,-,-,4,37,-,-,-,-,-,7.7
2,Dalvin Cook,MIN,PHI,RB,-,-,-,17,-,4,19,-,-,-,-,-,7.6
2,Jonathan Taylor,IND,JAX,RB,-,-,-,54,-,1,9,-,-,-,-,-,7.3
2,James Conner,ARI,LV,RB,-,-,-,25,-,2,26,-,-,-,-,-,7.1
2,Zander Horvath,LAC,KC,RB,-,-,-,-,-,1,1,1,-,-,-,-,7.1
2,Jamaal Williams,DET,WAS,RB,-,-,-,53,-,1,7,-,-,-,-,-,7
2,Melvin Gordon,DEN,HOU,RB,-,-,-,47,-,1,6,-,-,-,-,-,6.3
2,Mark Ingram,NO,TB,RB,-,-,-,58,-,2,3,-,-,-,-,1,6.1
2,Kyle Juszczyk,SF,SEA,RB,-,-,-,1,1,-,-,-,-,-,-,-,6.1
2,Rhamondre Stevenson,NE,PIT,RB,-,-,-,47,-,1,4,-,-,-,-,-,6.1
2,Ezekiel Elliott,DAL,CIN,RB,-,-,-,53,-,1,-4,-,-,-,-,-,5.9
2,James Cook,BUF,TEN,RB,-,-,-,53,-,-,-,-,-,-,-,-,5.3
2,Chase Edmonds,MIA,BAL,RB,-,-,-,33,-,1,8,-,-,-,-,-,5.1
2,Khalil Herbert,CHI,GB,RB,-,-,-,38,-,1,3,-,-,-,-,-,5.1
2,Hassan Haskins,TEN,BUF,RB,-,-,-,37,-,1,-,-,-,-,-,-,4.7
2,Alexander Mattison,MIN,PHI,RB,-,-,-,8,-,3,6,-,-,-,-,-,4.4
2,Cordarrelle Patterson,ATL,LA,RB,-,-,-,41,-,-,-,-,-,-,-,-,4.1
2,Devin Singletary,BUF,TEN,RB,-,-,-,19,-,2,2,-,-,-,-,-,4.1
2,Tony Jones,NO,TB,RB,-,-,-,8,-,2,12,-,-,-,-,-,4
2,Craig Reynolds,DET,WAS,RB,-,-,-,16,-,1,13,-,-,-,-,-,3.9
2,Alec Ingold,MIA,BAL,RB,-,-,-,1,-,2,15,-,-,-,-,-,3.6
2,Joshua Kelley,LAC,KC,RB,-,-,-,22,-,1,3,-,-,-,-,-,3.5
2,Kenneth Walker III,SEA,SF,RB,-,-,-,10,-,2,5,-,-,-,-,-,3.5
2,Ameer Abdullah,LV,ARI,RB,-,-,-,-,-,1,23,-,-,-,-,-,3.3
2,Tyrion Davis-Price,SF,SEA,RB,-,-,-,33,-,-,-,-,-,-,-,-,3.3
2,Boston Scott,PHI,MIN,RB,-,-,-,19,-,1,2,-,-,-,-,-,3.1
2,Tyler Allgeier,ATL,LA,RB,-,-,-,30,-,-,-,-,-,-,-,-,3
2,Rex Burkhead,HOU,DEN,RB,-,-,-,-,-,2,9,-,-,-,-,-,2.9
2,Sony Michel,LAC,KC,RB,-,-,-,13,-,1,6,-,-,-,-,-,2.9
2,Kenneth Gainwell,PHI,MIN,RB,-,-,-,7,-,1,11,-,-,-,-,-,2.8
2,Jaylen Warren,PIT,NE,RB,-,-,-,15,-,1,-,-,-,-,-,-,2.5
2,Samaje Perine,CIN,DAL,RB,-,-,-,2,-,1,8,-,-,-,-,-,2
2,Michael Burton,KC,LAC,RB,-,-,-,6,-,1,2,-,-,-,-,-,1.8
2,Dwayne Washington,NO,TB,RB,-,-,-,18,-,-,-,-,-,-,-,-,1.8
2,Zack Moss,BUF,TEN,RB,-,-,-,17,-,-,-,-,-,-,-,-,1.7
2,Justice Hill,BAL,MIA,RB,-,-,-,16,-,-,-,-,-,-,-,-,1.6
2,Rashaad Penny,SEA,SF,RB,-,-,-,15,-,-,-,-,-,-,-,-,1.5
2,Gary Brightwell,NYG,CAR,RB,-,-,-,14,-,-,-,-,-,-,-,-,1.4
2,Ty Johnson,NYJ,CLE,RB,-,-,-,-,-,1,4,-,-,-,-,-,1.4
2,Adam Prentice,NO,TB,RB,-,-,-,-,-,1,2,-,-,-,-,-,1.2
2,Demetric Felton,CLE,NYJ,RB,-,-,-,-4,-,1,3,-,-,-,-,-,0.9
2,D'Onta Foreman,CAR,NYG,RB,-,-,-,9,-,-,-,-,-,-,-,-,0.9
2,Kenyan Drake,BAL,MIA,RB,-,-,-,8,-,-,-,-,-,-,-,-,0.8
2,Isiah Pacheco,KC,LAC,RB,-,-,-,6,-,-,-,-,-,-,-,-,0.6
2,Patrick Ricard,BAL,MIA,RB,-,-,-,5,-,-,-,-,-,-,-,-,0.5
2,Mike Davis,BAL,MIA,RB,-,-,-,4,-,-,-,-,-,-,-,-,0.4
2,Caleb Huntley,ATL,LA,RB,-,-,-,3,-,-,-,-,-,-,-,-,0.3
2,Derek Watt,PIT,NE,RB,-,-,-,2,-,-,-,-,-,-,-,-,0.2
2,Zamir White,LV,ARI,RB,-,-,-,2,-,-,-,-,-,-,-,-,0.2
2,Rachaad White,TB,NO,RB,-,-,-,1,-,-,-,-,-,-,-,-,0.1
2,Stefon Diggs,BUF,TEN,WR,-,-,-,-,-,12,148,3,-,-,-,-,44.8
2,Tyreek Hill,MIA,BAL,WR,-,-,-,-,-,11,190,2,-,-,-,-,42
2,Jaylen Waddle,MIA,BAL,WR,-,-,-,-,-,11,171,2,-,-,-,-,40.1
2,Amon-Ra St. Brown,DET,WAS,WR,-,-,-,68,-,9,116,2,-,-,-,-,39.4
2,Cooper Kupp,LA,ATL,WR,-,-,-,-,-,11,108,2,-,-,-,1,31.8
