Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
10,Justin Fields,CHI,DET,QB,167,2,1,147,2,-,-,-,-,-,-,-,39.38
10,CeeDee Lamb,DAL,GB,WR,-,-,-,-,-,11,150,2,-,-,-,-,38
10,Justin Jefferson,MIN,BUF,WR,-,-,-,-,-,10,193,1,-,-,-,-,35.3
10,Christian Watson,GB,DAL,WR,-,-,-,-,-,4,107,3,-,-,-,-,32.7
10,Christian Kirk,JAX,KC,WR,-,-,-,-,-,9,105,2,-,-,-,-,31.5
10,Patrick Mahomes,KC,JAX,QB,331,4,1,39,-,-,-,-,-,-,-,-,31.14
10,Nick Westbrook-Ikhine,TEN,DEN,WR,-,-,-,-,-,5,119,2,-,-,-,-,28.9
10,Davante Adams,LV,IND,WR,-,-,-,-,-,9,126,1,-,-,-,-,27.6
10,Stefon Diggs,BUF,MIN,WR,-,-,-,-,-,12,128,-,-,-,-,-,24.8
10,Jonathan Taylor,IND,LV,RB,-,-,-,147,1,2,16,-,-,-,-,-,24.3
10,James Conner,ARI,LA,RB,-,-,-,69,2,3,17,-,-,-,-,-,23.6
10,Dalvin Cook,MIN,BUF,RB,-,-,-,119,1,3,27,-,-,-,-,-,23.6
10,Aaron Jones,GB,DAL,RB,-,-,-,138,1,2,18,-,-,-,-,-,23.6
10,Cole Kmet,CHI,DET,TE,-,-,-,-,-,4,74,2,-,-,-,-,23.4
10,Tua Tagovailoa,MIA,CLE,QB,285,3,-,-,-,-,-,-,-,-,-,-,23.4
10,Saquon Barkley,NYG,HOU,RB,-,-,-,152,1,1,8,-,-,-,-,-,23
10,Matt Ryan,IND,LV,QB,222,1,-,38,1,-,-,-,-,-,-,-,22.68
10,Josh Jacobs,LV,IND,RB,-,-,-,78,1,6,28,-,-,-,-,-,22.6
10,Jeff Wilson,MIA,CLE,RB,-,-,-,119,1,2,24,-,-,-,-,-,22.3
10,Amon-Ra St. Brown,DET,CHI,WR,-,-,-,2,-,10,119,-,-,-,-,-,22.1
10,Jalen Hurts,PHI,WAS,QB,175,2,1,28,1,-,-,-,-,-,-,-,21.8
10,Tony Pollard,DAL,GB,RB,-,-,-,115,1,3,13,-,-,-,-,-,21.8
10,Gabe Davis,BUF,MIN,WR,-,-,-,-,-,6,93,1,-,-,-,-,21.3
10,Trevor Lawrence,JAX,KC,QB,259,2,-,26,-,-,-,-,-,-,-,-,20.96
10,Terry McLaurin,WAS,PHI,WR,-,-,-,-,-,8,128,-,-,-,-,-,20.8
10,Parris Campbell,IND,LV,WR,-,-,-,-,-,7,76,1,-,-,-,-,20.6
10,Travis Kelce,KC,JAX,TE,-,-,-,-,-,6,81,1,-,-,-,-,20.1
10,DeAndre Hopkins,ARI,LA,WR,-,-,-,-,-,10,98,-,-,-,-,-,19.8
10,Josh Allen,BUF,MIN,QB,330,1,2,84,-,-,-,-,-,-,-,1,19.6
10,Ryan Tannehill,TEN,DEN,QB,255,2,-,12,-,-,-,-,-,-,-,-,19.4
10,Aaron Rodgers,GB,DAL,QB,224,3,-,4,-,-,-,-,-,-,-,1,19.36
10,Dak Prescott,DAL,GB,QB,265,3,2,6,-,-,-,-,-,-,-,-,19.2
10,Geno Smith,SEA,TB,QB,275,2,-,22,-,-,-,-,-,-,-,1,19.2
10,Chris Godwin,TB,SEA,WR,-,-,-,-,-,6,71,1,-,-,-,-,19.1
10,Kenny Pickett,PIT,NO,QB,199,-,-,51,1,-,-,-,-,-,-,-,19.06
10,D'Onta Foreman,CAR,ATL,RB,-,-,-,130,1,-,-,-,-,-,-,-,19
10,Kadarius Toney,KC,JAX,WR,-,-,-,33,-,4,57,1,-,-,-,-,19
10,Raheem Mostert,MIA,CLE,RB,-,-,-,65,1,4,22,-,-,-,-,-,18.7
10,Darius Slayton,NYG,HOU,WR,-,-,-,-,-,3,95,1,-,-,-,-,18.5
10,Rondale Moore,ARI,LA,WR,-,-,-,-,-,9,94,-,-,-,-,-,18.4
10,Daniel Jones,NYG,HOU,QB,197,2,-,24,-,-,-,-,-,-,-,-,18.28
10,Derek Carr,LV,IND,QB,248,2,-,-,-,-,-,-,-,-,-,-,17.92
10,Marcus Mariota,ATL,CAR,QB,186,2,1,43,-,-,-,-,-,-,-,-,17.74
10,Christian McCaffrey,SF,LAC,RB,-,-,-,38,1,4,39,-,-,-,-,-,17.7
10,Dalton Schultz,DAL,GB,TE,-,-,-,-,-,6,54,1,-,-,-,-,17.4
10,Jacoby Brissett,CLE,MIA,QB,212,1,-,40,-,-,-,-,-,-,-,-,16.48
10,DeAndre Carter,LAC,SF,WR,-,-,-,-,-,4,64,1,-,-,-,-,16.4
10,Trent Sherfield,MIA,CLE,WR,-,-,-,-,-,4,63,1,-,-,-,-,16.3
10,Tom Brady,TB,SEA,QB,258,2,1,-3,-,-,-,-,-,-,-,-,16.02
10,Nico Collins,HOU,NYG,WR,-,-,-,-,-,5,49,1,-,-,-,-,15.9
10,Jimmy Garoppolo,SF,LAC,QB,240,-,-,3,1,-,-,-,-,-,-,-,15.9
10,Devin Singletary,BUF,MIN,RB,-,-,-,47,2,1,-,-,-,-,-,1,15.7
10,Kirk Cousins,MIN,BUF,QB,357,1,2,12,-,-,-,-,-,-,-,-,15.48
10,Tyreek Hill,MIA,CLE,WR,-,-,-,-,-,5,44,1,-,-,-,-,15.4
10,Juwan Johnson,NO,PIT,TE,-,-,-,-,-,5,44,1,-,-,-,-,15.4
10,Tyler Higbee,LA,ARI,TE,-,-,-,-,-,8,73,-,-,-,-,-,15.3
10,Nick Chubb,CLE,MIA,RB,-,-,-,63,1,3,18,-,-,-,-,1,15.1
10,Marquez Valdes-Scantling,KC,JAX,WR,-,-,-,-,-,3,60,1,-,-,-,-,15
10,Donovan Peoples-Jones,CLE,MIA,WR,-,-,-,-,-,5,99,-,-,-,-,-,14.9
10,Laviska Shenault Jr.,CAR,ATL,WR,-,-,-,42,1,3,17,-,-,-,-,-,14.9
10,Jared Goff,DET,CHI,QB,236,1,-,14,-,-,-,-,-,-,-,-,14.84
10,Antonio Gibson,WAS,PHI,RB,-,-,-,44,1,3,14,-,-,-,-,-,14.8
10,Zay Jones,JAX,KC,WR,-,-,-,-,-,8,68,-,-,-,-,-,14.8
10,Drake London,ATL,CAR,WR,-,-,-,-,-,5,38,1,-,-,-,-,14.8
10,Davis Mills,HOU,NYG,QB,319,1,1,-,-,-,-,-,-,-,-,-,14.76
10,Brian Robinson,WAS,PHI,RB,-,-,-,86,1,-,-,-,-,-,-,-,14.6
10,Alec Ingold,MIA,CLE,RB,-,-,-,-,-,4,45,1,-,-,-,-,14.5
10,George Pickens,PIT,NO,WR,-,-,-,23,1,3,32,-,-,-,-,-,14.5
10,Julio Jones,TB,SEA,WR,-,-,-,-,-,3,53,1,-,-,-,-,14.3
10,Russell Wilson,DEN,TEN,QB,286,1,1,8,-,-,-,-,-,-,-,-,14.24
10,Colt McCoy,ARI,LA,QB,238,1,-,4,-,-,-,-,-,-,-,-,13.92
10,DeVonta Smith,PHI,WAS,WR,-,-,-,-,-,6,39,1,-,-,-,1,13.9
10,Jalen Virgil,DEN,TEN,WR,-,-,-,-,-,1,66,1,-,-,-,-,13.6
10,Austin Ekeler,LAC,SF,RB,-,-,-,24,-,7,39,-,-,-,-,-,13.3
10,Foster Moreau,LV,IND,TE,-,-,-,-,-,3,43,1,-,-,-,-,13.3
10,Tyler Lockett,SEA,TB,WR,-,-,-,-,-,3,42,1,-,-,-,-,13.2
10,Kenneth Walker III,SEA,TB,RB,-,-,-,17,-,6,55,-,-,-,-,-,13.2
10,DK Metcalf,SEA,TB,WR,-,-,-,-,-,6,71,-,-,-,-,-,13.1
10,Courtland Sutton,DEN,TEN,WR,-,-,-,-,-,6,66,-,-,-,-,-,12.6
10,Brandon Aiyuk,SF,LAC,WR,-,-,-,-,-,6,84,-,-,-,-,1,12.4
10,Michael Pittman,IND,LV,WR,-,-,-,-,-,7,53,-,-,-,-,-,12.3
10,Dameon Pierce,HOU,NYG,RB,-,-,-,94,-,2,28,-,-,-,-,1,12.2
10,Justin Herbert,LAC,SF,QB,196,1,1,22,-,-,-,-,-,-,-,-,12.04
10,Jamaal Williams,DET,CHI,RB,-,-,-,59,1,-,-,-,-,-,-,-,11.9
10,Marquise Goodwin,SEA,TB,WR,-,-,-,-,-,2,38,1,-,-,-,-,11.8
10,Jerick McKinnon,KC,JAX,RB,-,-,-,2,-,6,56,-,-,-,-,-,11.8
10,KhaDarel Hodge,ATL,CAR,WR,-,-,-,-,-,2,37,1,-,-,-,-,11.7
10,Van Jefferson,LA,ARI,WR,-,-,-,-,-,3,27,1,-,-,-,-,11.7
10,T.J. Hockenson,MIN,BUF,TE,-,-,-,-,-,7,45,-,-,-,-,-,11.5
10,Melvin Gordon,KC,JAX,RB,-,-,-,24,-,4,46,-,-,-,-,-,11
10,Leonard Fournette,TB,SEA,RB,-,-,1,57,1,1,1,-,-,-,-,-,10.8
10,Jaylen Warren,PIT,NO,RB,-,-,-,37,-,3,40,-,-,-,-,-,10.7
10,Jaylen Waddle,MIA,CLE,WR,-,-,-,-,-,4,66,-,-,-,-,-,10.6
10,Harrison Bryant,CLE,MIA,TE,-,-,-,-,-,3,15,1,-,-,-,-,10.5
10,Rachaad White,TB,SEA,RB,-,-,-,105,-,-,-,-,-,-,-,-,10.5
10,Mike Evans,TB,SEA,WR,-,-,-,-,-,5,54,-,-,-,-,-,10.4
10,Travis Etienne,JAX,KC,RB,-,-,-,45,-,3,28,-,-,-,-,-,10.3
10,Diontae Johnson,PIT,NO,WR,-,-,-,-,-,4,63,-,-,-,-,-,10.3
10,Jordan Akins,HOU,NYG,TE,-,-,-,-,-,3,72,-,-,-,-,-,10.2
10,Darrell Henderson,JAX,KC,RB,-,-,-,21,1,1,11,-,-,-,-,-,10.2
10,Kendall Hinton,DEN,TEN,WR,-,-,-,-,-,4,62,-,-,-,-,-,10.2
10,Noah Gray,KC,JAX,TE,-,-,-,-,-,2,20,1,-,-,-,-,10
10,Chris Moore,HOU,NYG,WR,-,-,-,-,-,3,70,-,-,-,-,-,10
10,Quez Watkins,PHI,WAS,WR,-,-,-,-,-,4,80,-,-,-,-,1,10
10,Najee Harris,PIT,NO,RB,-,-,-,99,-,-,-,-,-,-,-,-,9.9
10,Adam Thielen,MIN,BUF,WR,-,-,-,-,-,5,49,-,-,-,-,-,9.9
10,Elijah Mitchell,SF,LAC,RB,-,-,-,89,-,1,-1,-,-,-,-,-,9.8
10,Kylen Granson,IND,LV,TE,-,-,-,-,-,4,57,-,-,-,-,-,9.7
10,Dawson Knox,BUF,MIN,TE,-,-,-,-,-,4,57,-,-,-,-,-,9.7
10,Darnell Mooney,CHI,DET,WR,-,-,-,-,-,4,57,-,-,-,-,-,9.7
10,Isaiah McKenzie,BUF,MIN,WR,-,-,-,18,-,4,37,-,-,-,-,-,9.5
10,Dallas Goedert,PHI,WAS,TE,-,-,-,-,-,3,23,1,-,-,-,1,9.3
10,Austin Hooper,TEN,DEN,TE,-,-,-,-,-,5,41,-,-,-,-,-,9.1
10,A.J. Green,ARI,LA,WR,-,-,-,-,-,2,10,1,-,-,-,-,9
10,Lawrence Cager,NYG,HOU,WR,-,-,-,-,-,2,9,1,-,-,-,-,8.9
10,Damiere Byrd,ATL,CAR,WR,-,-,-,-,-,3,58,-,-,-,-,-,8.8
10,John Wolford,LA,ARI,QB,212,1,1,3,-,-,-,-,-,-,-,1,8.78
10,Derrick Henry,TEN,DEN,RB,-,-,-,53,-,2,14,-,-,-,-,-,8.7
10,Allen Robinson,LA,ARI,WR,-,-,-,-,-,4,44,-,-,-,-,-,8.4
10,Brandin Cooks,HOU,NYG,WR,-,-,-,5,-,4,37,-,-,-,-,-,8.2
10,D'Andre Swift,DET,CHI,RB,-,-,-,6,1,1,6,-,-,-,-,-,8.2
10,Jauan Jennings,SF,LAC,WR,-,-,-,-,-,4,40,-,-,-,-,-,8
10,Latavius Murray,DEN,TEN,RB,-,-,-,24,-,3,23,-,-,-,-,-,7.7
10,K.J. Osborn,MIN,BUF,WR,-,-,-,2,-,4,35,-,-,-,-,-,7.7
10,Kalif Raymond,DET,CHI,WR,-,-,-,-,-,3,47,-,-,-,-,-,7.7
10,Sammy Watkins,GB,DAL,WR,-,-,-,-,-,3,47,-,-,-,-,-,7.7
10,Pat Freiermuth,PIT,NO,TE,-,-,-,-,-,4,36,-,-,-,-,-,7.6
10,Michael Gallup,DAL,GB,WR,-,-,-,-,-,4,35,-,-,-,-,-,7.5
10,Alvin Kamara,NO,PIT,RB,-,-,-,26,-,3,19,-,-,-,-,-,7.5
10,Allen Lazard,GB,DAL,WR,-,-,-,-,-,3,45,-,-,-,-,-,7.5
10,Josh Palmer,LAC,SF,WR,-,-,-,-,-,3,44,-,-,-,-,-,7.4
10,Ameer Abdullah,LV,IND,RB,-,-,-,-,-,4,33,-,-,-,-,-,7.3
10,Brock Wright,DET,CHI,TE,-,-,-,-,-,1,2,1,-,-,-,-,7.2
10,Deebo Samuel,SF,LAC,WR,-,-,-,27,-,2,24,-,-,-,-,-,7.1
10,Andy Dalton,NO,PIT,QB,174,1,2,1,-,-,-,-,-,-,-,-,7.06
10,Chris Olave,NO,PIT,WR,-,-,-,-,-,3,40,-,-,-,-,-,7
10,D.J. Moore,CAR,ATL,WR,-,-,-,-,-,4,29,-,-,-,-,-,6.9
10,Kyren Williams,LA,ARI,RB,-,-,-,9,-,3,30,-,-,-,-,-,6.9
10,Jarvis Landry,NO,PIT,WR,-,-,-,-,-,3,37,-,-,-,-,-,6.7
10,AJ Dillon,GB,DAL,RB,-,-,-,65,-,-,-,-,-,-,-,-,6.5
10,Cade Otton,TB,SEA,TE,-,-,-,-,-,3,35,-,-,-,-,-,6.5
10,Noah Fant,SEA,TB,TE,-,-,-,-,-,3,34,-,-,-,-,-,6.4
10,C.J. Ham,MIN,BUF,RB,-,-,-,3,1,-,-,-,-,-,-,-,6.3
10,Amari Cooper,CLE,MIA,WR,-,-,-,-,-,3,32,-,-,-,-,-,6.2
10,Isiah Pacheco,KC,JAX,RB,-,-,-,82,-,-,-,-,-,-,-,1,6.2
10,Isaiah Hodgins,NYG,HOU,WR,-,-,-,-,-,2,41,-,-,-,-,-,6.1
10,Curtis Samuel,WAS,PHI,WR,-,-,-,12,-,2,28,-,-,-,-,-,6
10,P.J. Walker,CAR,ATL,QB,108,-,-,14,-,-,-,-,-,-,-,-,5.72
10,Khalil Herbert,CHI,DET,RB,-,-,-,57,-,-,-,-,-,-,-,-,5.7
10,Taylor Heinicke,WAS,PHI,QB,211,-,1,10,-,-,-,-,-,-,-,1,5.44
10,David Bell,CLE,MIA,WR,-,-,-,-,-,3,24,-,-,-,-,-,5.4
