Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
9,Joe Mixon,CIN,CAR,RB,-,-,-,153,4,4,58,1,-,-,-,-,55.1
9,Justin Fields,CHI,MIA,QB,123,3,-,178,1,-,-,-,-,-,1,-,42.72
9,Davante Adams,LV,JAX,WR,-,-,-,-,-,10,146,2,-,-,-,-,36.6
9,Patrick Mahomes,KC,TEN,QB,446,1,1,63,1,-,-,-,-,-,1,-,34.14
9,Kenneth Walker III,SEA,ARI,RB,-,-,-,109,2,3,20,-,-,-,-,-,27.9
9,Tyreek Hill,MIA,CHI,WR,-,-,-,-,-,7,143,1,-,-,-,-,27.3
9,Cooper Kupp,LA,TB,WR,-,-,-,1,-,8,127,1,-,-,-,-,26.8
9,Travis Etienne,JAX,LV,RB,-,-,-,109,2,2,17,-,-,-,-,-,26.6
9,Justin Jefferson,MIN,WAS,WR,-,-,-,10,-,7,115,1,-,-,-,-,25.5
9,Kenyan Drake,BAL,NO,RB,-,-,-,93,2,2,16,-,-,-,-,-,24.9
9,Josh Allen,BUF,NYJ,QB,205,-,2,86,2,-,-,-,-,-,-,-,24.8
9,Austin Ekeler,LAC,ATL,RB,-,-,-,47,1,7,24,1,-,-,-,1,24.1
9,Tua Tagovailoa,MIA,CHI,QB,302,3,-,-,-,-,-,-,-,-,-,-,24.08
9,Dallas Goedert,PHI,HOU,TE,-,-,-,-,-,8,100,1,-,-,-,-,24
9,Derrick Henry,TEN,KC,RB,-,-,-,115,2,-,-,-,-,-,-,-,23.5
9,Cole Kmet,CHI,MIA,TE,-,-,-,9,-,5,41,2,-,-,-,-,22
9,Christian Kirk,JAX,LV,WR,-,-,-,-,-,8,76,1,-,-,-,-,21.6
9,Geno Smith,SEA,ARI,QB,275,2,1,38,-,-,-,-,-,-,-,-,20.8
9,Travis Kelce,KC,TEN,TE,-,-,-,-,-,10,106,-,-,-,-,-,20.6
9,Jalen Hurts,PHI,HOU,QB,243,2,-,23,-,-,-,-,-,-,1,1,20.02
9,Mecole Hardman,KC,TEN,WR,-,-,-,-,-,6,79,1,-,-,-,-,19.9
9,Jaylen Waddle,MIA,CHI,WR,-,-,-,-,-,5,85,1,-,-,-,-,19.5
9,Joe Burrow,CIN,CAR,QB,206,1,-,9,1,-,-,-,-,-,-,-,19.14
9,Kyler Murray,ARI,SEA,QB,175,2,-,60,-,-,-,-,-,-,-,1,19
9,JuJu Smith-Schuster,KC,TEN,WR,-,-,-,-,-,10,88,-,-,-,-,-,18.8
9,Allen Lazard,GB,DET,WR,-,-,-,-,-,4,87,1,-,-,-,-,18.7
9,Josh Palmer,LAC,ATL,WR,-,-,-,-,-,8,106,-,-,-,-,-,18.6
9,Derek Carr,LV,JAX,QB,259,2,-,-,-,-,-,-,-,-,-,-,18.36
9,Cordarrelle Patterson,ATL,LAC,RB,-,-,-,44,2,1,9,-,-,-,-,-,18.3
9,Garrett Wilson,NYJ,BUF,WR,-,-,-,7,-,8,92,-,-,-,-,-,17.9
9,Cade Otton,TB,LA,TE,-,-,-,-,-,5,68,1,-,-,-,-,17.8
9,Tyler Lockett,SEA,ARI,WR,-,-,-,-,-,5,67,1,-,-,-,-,17.7
9,Lamar Jackson,BAL,NO,QB,133,1,-,82,-,-,-,-,-,-,-,-,17.52
9,Darnell Mooney,CHI,MIA,WR,-,-,-,2,-,7,43,1,-,-,-,-,17.5
9,Curtis Samuel,WAS,MIN,WR,-,-,-,16,-,3,65,1,-,-,-,-,17.1
9,Trevor Lawrence,JAX,LV,QB,235,1,-,53,-,-,-,-,-,-,-,1,16.7
9,Kirk Cousins,MIN,WAS,QB,265,2,1,-2,-,-,-,-,-,-,-,-,16.4
9,Jeff Wilson,MIA,CHI,RB,-,-,-,51,-,3,21,1,-,-,-,-,16.2
9,T.J. Hockenson,MIN,WAS,TE,-,-,-,-,-,9,70,-,-,-,-,-,16
9,Rhamondre Stevenson,NE,IND,RB,-,-,-,60,-,3,10,1,-,-,-,-,16
9,A.J. Brown,PHI,HOU,WR,-,-,-,-,-,4,59,1,-,-,-,-,15.9
9,Michael Carter,NYJ,BUF,RB,-,-,-,76,1,1,10,-,-,-,-,-,15.6
9,Raheem Blackshear,CAR,CIN,RB,-,-,-,13,1,4,40,-,-,-,-,-,15.3
9,Miles Sanders,PHI,HOU,RB,-,-,-,93,1,-,-,-,-,-,-,-,15.3
9,Tom Brady,TB,LA,QB,280,1,-,-,-,-,-,-,-,-,-,-,15.2
9,Zach Ertz,ARI,SEA,TE,-,-,-,-,-,5,40,1,-,-,-,-,15
9,Rondale Moore,ARI,SEA,WR,-,-,-,-,-,8,69,-,-,-,-,-,14.9
9,DK Metcalf,SEA,ARI,WR,-,-,-,-,-,5,37,1,-,-,-,-,14.7
9,Noah Fant,SEA,ARI,TE,-,-,-,-,-,5,96,-,-,-,-,-,14.6
9,Chris Moore,HOU,PHI,WR,-,-,-,2,-,4,43,1,-,-,-,-,14.5
9,Stefon Diggs,BUF,NYJ,WR,-,-,-,-,-,5,93,-,-,-,-,-,14.3
9,Terrace Marshall Jr.,CAR,CIN,WR,-,-,-,-,-,3,53,1,-,-,-,-,14.3
9,Baker Mayfield,CAR,CIN,QB,155,2,-,-,-,-,-,-,-,-,-,-,14.2
9,Dameon Pierce,HOU,PHI,RB,-,-,-,139,-,-,-,-,-,-,-,-,13.9
9,Taylor Heinicke,WAS,MIN,QB,149,2,1,17,-,-,-,-,-,-,-,-,13.66
9,Aaron Rodgers,GB,DET,QB,291,1,3,40,-,-,-,-,-,-,-,-,13.64
9,Dalvin Cook,MIN,WAS,RB,-,-,-,47,-,2,9,1,-,-,-,-,13.6
9,DeAndre Hopkins,ARI,SEA,WR,-,-,-,-,-,4,36,1,-,-,-,-,13.6
9,Tyler Allgeier,ATL,LAC,RB,-,-,-,99,-,1,24,-,-,-,-,-,13.3
9,James Robinson,NYJ,BUF,RB,-,-,-,48,-,2,5,1,-,-,-,-,13.3
9,Chris Olave,NO,BAL,WR,-,-,-,-,-,6,71,-,-,-,-,-,13.1
9,Tee Higgins,CIN,CAR,WR,-,-,-,-,-,7,60,-,-,-,-,-,13
9,Kenneth Gainwell,PHI,HOU,RB,-,-,-,22,1,3,16,-,-,-,-,-,12.8
9,Scott Miller,TB,LA,WR,-,-,-,-,-,7,53,-,-,-,-,-,12.3
9,Juwan Johnson,NO,BAL,TE,-,-,-,-,-,2,42,1,-,-,-,-,12.2
9,Justin Herbert,LAC,ATL,QB,245,1,1,3,-,-,-,-,-,-,-,-,12.1
9,Davis Mills,HOU,PHI,QB,154,2,2,18,-,-,-,-,-,-,-,-,11.96
9,Josh Jacobs,LV,JAX,RB,-,-,-,67,-,3,20,-,-,-,-,-,11.7
9,James Conner,ARI,SEA,RB,-,-,-,45,-,5,19,-,-,-,-,-,11.4
9,Jared Goff,DET,GB,QB,137,2,1,-1,-,-,-,-,-,-,-,-,11.38
9,Leonard Fournette,TB,LA,RB,-,-,-,19,-,5,41,-,-,-,-,-,11
9,Andy Dalton,NO,BAL,QB,210,1,1,5,-,-,-,-,-,-,-,-,10.9
9,Chris Godwin,TB,LA,WR,-,-,-,1,-,7,36,-,-,-,-,-,10.7
9,Terry McLaurin,WAS,MIN,WR,-,-,-,-,-,5,56,-,-,-,-,-,10.6
9,Zach Wilson,NYJ,BUF,QB,154,1,-,24,-,-,-,-,-,-,-,1,10.56
9,Matthew Stafford,LA,TB,QB,165,1,-,-1,-,-,-,-,-,-,-,-,10.5
9,Jerick McKinnon,KC,TEN,RB,-,-,-,4,-,6,40,-,-,-,-,-,10.4
9,DeAndre Carter,LAC,ATL,WR,-,-,-,-,-,5,53,-,-,-,-,-,10.3
9,Jamaal Williams,DET,GB,RB,-,-,-,81,-,-,-,-,-,-,1,-,10.1
9,Phillip Dorsett,HOU,PHI,WR,-,-,-,-,-,3,69,-,-,-,-,-,9.9
9,Marvin Jones,JAX,LV,WR,-,-,-,-,-,5,48,-,-,-,-,-,9.8
9,Adam Thielen,MIN,WAS,WR,-,-,-,-,-,3,67,-,-,-,-,-,9.7
9,Mac Jones,NE,IND,QB,147,1,-,-2,-,-,-,-,-,-,-,-,9.68
9,Amon-Ra St. Brown,DET,GB,WR,-,-,-,-,-,4,55,-,-,-,-,-,9.5
9,Tyler Boyd,CIN,CAR,WR,-,-,-,-,-,5,44,-,-,-,-,-,9.4
9,Isaiah Likely,BAL,NO,TE,-,-,-,-,-,1,24,1,-,-,-,-,9.4
9,Alvin Kamara,NO,BAL,RB,-,-,-,30,-,3,32,-,-,-,-,-,9.2
9,Josiah Deguara,GB,DET,TE,-,-,-,-,-,5,41,-,-,-,-,-,9.1
9,Mike Evans,TB,LA,WR,-,-,-,-,-,5,40,-,-,-,-,-,9
9,Hunter Henry,NE,IND,TE,-,-,-,-,-,4,50,-,-,-,-,-,9
9,Zay Jones,JAX,LV,WR,-,-,-,-,-,5,40,-,-,-,-,-,9
9,James Mitchell,DET,GB,TE,-,-,-,-,-,2,8,1,-,-,-,-,8.8
9,Devin Singletary,BUF,NYJ,RB,-,-,-,24,-,4,24,-,-,-,-,-,8.8
9,Gerald Everett,LAC,ATL,TE,-,-,-,-,-,5,36,-,-,-,-,-,8.6
9,Raheem Mostert,MIA,CHI,RB,-,-,-,26,1,-,-,-,-,-,-,-,8.6
9,Hayden Hurst,CIN,CAR,TE,-,-,-,-,-,5,35,-,-,-,-,-,8.5
9,D'Andre Swift,DET,GB,RB,-,-,-,10,-,3,40,-,-,-,-,-,8
9,Michael Bandy,LAC,ATL,WR,-,-,-,-,-,5,26,-,-,-,-,-,7.6
9,Dax Milne,WAS,MIN,WR,-,-,-,-,-,1,6,1,-,-,-,-,7.6
9,Marcus Mariota,ATL,LAC,QB,129,-,-,24,-,-,-,-,-,-,-,-,7.56
9,Noah Gray,KC,TEN,TE,-,-,-,-,-,3,45,-,-,-,-,-,7.5
9,Jakobi Meyers,NE,IND,WR,-,-,-,2,-,5,42,-,-,-,-,1,7.4
9,Teagan Quitoriano,HOU,PHI,TE,-,-,-,-,-,1,2,1,-,-,-,-,7.2
9,Malik Willis,TEN,KC,QB,80,-,-,40,-,-,-,-,-,-,-,-,7.2
9,Tommy Tremble,CAR,CIN,TE,-,-,-,-,-,2,11,1,-,-,-,1,7.1
9,Shane Zylstra,DET,GB,TE,-,-,-,-,-,1,1,1,-,-,-,-,7.1
9,Jordan Wilkins,IND,NE,RB,-,-,-,13,-,4,15,-,-,-,-,-,6.8
9,Antonio Gibson,WAS,MIN,RB,-,-,-,36,-,2,11,-,-,-,-,-,6.7
9,Aaron Jones,GB,DET,RB,-,-,-,25,-,2,20,-,-,-,-,-,6.5
9,AJ Dillon,GB,DET,RB,-,-,-,34,-,2,10,-,-,-,-,-,6.4
9,Samaje Perine,CIN,CAR,RB,-,-,-,51,-,1,3,-,-,-,-,-,6.4
9,Rachaad White,TB,LA,RB,-,-,-,27,-,3,7,-,-,-,-,-,6.4
9,Travis Homer,SEA,ARI,RB,-,-,-,7,-,3,25,-,-,-,-,-,6.2
9,Sam Ehlinger,IND,NE,QB,103,-,1,39,-,-,-,-,-,-,-,-,6.02
9,Tre'Quan Smith,NO,BAL,WR,-,-,-,-,-,3,29,-,-,-,-,-,5.9
9,Robert Tonyan,GB,DET,TE,-,-,-,-,-,3,29,-,-,-,-,-,5.9
9,Chigoziem Okonkwo,TEN,KC,TE,-,-,-,-,-,1,48,-,-,-,-,-,5.8
9,Brian Robinson,WAS,MIN,RB,-,-,-,44,-,2,-6,-,-,-,-,-,5.8
9,Trent Sherfield,MIA,CHI,WR,-,-,-,-,-,3,27,-,-,-,-,-,5.7
9,Justin Watson,KC,TEN,WR,-,-,-,-,-,2,37,-,-,-,-,-,5.7
9,Darrell Henderson,JAX,LV,RB,-,-,-,56,-,-,-,-,-,-,-,-,5.6
9,Deon Jackson,IND,NE,RB,-,-,-,23,-,2,13,-,-,-,-,-,5.6
9,Hunter Renfrow,LV,JAX,WR,-,-,-,-,-,3,26,-,-,-,-,-,5.6
9,Dawson Knox,BUF,NYJ,TE,-,-,-,-,-,3,25,-,-,-,-,-,5.5
9,Marquez Callaway,NO,BAL,WR,-,-,-,-,-,3,24,-,-,-,-,-,5.4
9,Will Dissly,SEA,ARI,TE,-,-,-,-,-,3,24,-,-,-,-,-,5.4
9,Austin Hooper,TEN,KC,TE,-,-,-,-,-,2,34,-,-,-,-,-,5.4
9,David Montgomery,CHI,MIA,RB,-,-,-,36,-,1,8,-,-,-,-,-,5.4
9,Allen Robinson,LA,TB,WR,-,-,-,-,-,3,24,-,-,-,-,-,5.4
9,Samori Toure,GB,DET,WR,-,-,-,-,-,2,34,-,-,-,-,-,5.4
9,James Cook,BUF,NYJ,RB,-,-,-,15,-,2,18,-,-,-,-,-,5.3
9,Gabe Davis,BUF,NYJ,WR,-,-,-,-,-,2,33,-,-,-,-,-,5.3
9,Michael Pittman,IND,NE,WR,-,-,-,-,-,3,22,-,-,-,-,-,5.2
9,Trent Taylor,CIN,CAR,WR,-,-,-,18,-,2,14,-,-,-,-,-,5.2
9,Jonnu Smith,NE,IND,TE,-,-,-,-,-,3,21,-,-,-,-,-,5.1
9,Julio Jones,TB,LA,WR,-,-,-,-,-,2,28,-,-,-,-,-,4.8
9,Kyle Pitts,ATL,LAC,TE,-,-,-,-,-,2,27,-,-,-,-,-,4.7
9,Kalif Raymond,DET,GB,WR,-,-,-,-,-,3,17,-,-,-,-,-,4.7
9,Spencer Brown,CAR,CIN,RB,-,-,-,16,-,2,10,-,-,-,-,-,4.6
9,C.J. Uzomah,NYJ,BUF,TE,-,-,-,-,-,3,16,-,-,-,-,-,4.6
