Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
4,Jared Goff,DET,SEA,QB,378,4,1,1,-,-,-,-,-,-,2,-,33.22
4,Geno Smith,SEA,DET,QB,320,2,-,49,1,-,-,-,-,-,-,-,31.7
4,Russell Wilson,DEN,LV,QB,237,2,-,29,1,1,1,-,-,-,-,-,27.48
4,Tom Brady,TB,KC,QB,385,3,-,-,-,-,-,-,-,-,-,1,25.4
4,Josh Allen,BUF,BAL,QB,213,1,1,70,1,-,-,-,-,-,-,-,23.52
4,Patrick Mahomes,KC,TB,QB,249,3,1,34,-,-,-,-,-,-,-,-,23.36
4,Kyler Murray,ARI,CAR,QB,207,2,1,26,1,-,-,-,-,-,-,-,22.88
4,Daniel Jones,NYG,CHI,QB,71,-,-,68,2,-,-,-,-,-,-,-,21.64
4,Justin Herbert,LAC,HOU,QB,340,2,-,-5,-,-,-,-,-,-,-,-,21.1
4,Joe Burrow,CIN,MIA,QB,287,2,-,6,-,-,-,-,-,-,-,-,20.08
4,Zach Wilson,NYJ,PIT,QB,252,1,2,15,-,1,2,1,-,-,-,-,18.78
4,Matt Ryan,IND,TEN,QB,356,2,1,-4,-,-,-,-,-,-,-,1,17.84
4,Cooper Rush,DAL,WAS,QB,223,2,-,7,-,-,-,-,-,-,-,-,17.62
4,Aaron Rodgers,GB,NE,QB,251,2,1,1,-,-,-,-,-,-,-,-,16.14
4,Jalen Hurts,PHI,JAX,QB,204,-,1,38,1,-,-,-,-,-,-,-,15.96
4,Jacoby Brissett,CLE,ATL,QB,234,-,1,16,1,-,-,-,-,-,-,-,14.96
4,Ryan Tannehill,TEN,IND,QB,137,2,-,9,-,-,-,-,-,-,-,-,14.38
4,Jimmy Garoppolo,SF,LA,QB,239,1,-,3,-,-,-,-,-,-,-,-,13.86
4,Davis Mills,HOU,LAC,QB,246,2,2,-,-,-,-,-,-,-,-,-,13.84
4,Andy Dalton,NO,MIN,QB,236,1,-,3,-,-,-,-,-,-,1,1,13.74
4,Lamar Jackson,BAL,BUF,QB,144,1,2,73,-,-,-,-,-,-,-,-,13.06
4,Kirk Cousins,MIN,NO,QB,273,1,1,-,-,-,-,-,-,-,-,-,12.92
4,Kenny Pickett,PIT,NYJ,QB,120,-,3,15,2,-,-,-,-,-,-,-,12.3
4,Derek Carr,LV,DEN,QB,188,-,-,40,-,-,-,-,-,-,-,-,11.52
4,Teddy Bridgewater,MIA,CIN,QB,193,1,1,11,-,-,-,-,-,-,-,-,10.82
4,Justin Fields,CHI,NYG,QB,174,-,-,52,-,-,-,-,-,-,-,1,10.16
