Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
7,Joe Burrow,CIN,ATL,QB,481,3,-,20,1,-,-,-,-,-,-,-,39.24
7,Austin Ekeler,LAC,SEA,RB,-,-,-,31,1,12,96,1,-,-,-,-,36.7
7,Josh Jacobs,LV,HOU,RB,-,-,-,143,3,3,12,-,-,-,-,-,36.5
7,Ja'Marr Chase,CIN,ATL,WR,-,-,-,-,-,8,130,2,-,-,-,-,33
7,Tyler Boyd,CIN,ATL,WR,-,-,-,-,-,8,155,1,-,-,-,-,29.5
7,Daniel Jones,NYG,JAX,QB,202,1,-,107,1,-,-,-,-,-,-,-,28.78
7,Kenneth Walker III,SEA,LAC,RB,-,-,-,167,2,-,-,-,-,-,-,-,28.7
7,Aaron Jones,GB,WAS,RB,-,-,-,23,-,9,53,2,-,-,-,-,28.6
7,Mecole Hardman,KC,SF,WR,-,-,-,28,2,4,32,1,-,-,-,-,28
7,Patrick Mahomes,KC,SF,QB,423,3,1,-,-,-,-,-,-,-,-,-,26.92
7,Andy Dalton,NO,ARI,QB,361,4,3,21,-,-,-,-,-,-,-,-,26.54
7,JuJu Smith-Schuster,KC,SF,WR,-,-,-,-,-,7,124,1,-,-,-,-,25.4
7,Rhamondre Stevenson,NE,CHI,RB,-,-,-,39,1,8,59,-,-,-,-,-,23.8
7,Justin Fields,CHI,NE,QB,179,1,1,82,1,-,-,-,-,-,-,-,23.36
7,Eno Benjamin,HOU,LV,RB,-,-,-,92,1,4,21,-,-,-,1,-,23.3
7,Parris Campbell,IND,TEN,WR,-,-,-,-,-,10,70,1,-,-,-,-,23
7,Marquise Goodwin,SEA,LAC,WR,-,-,-,-,-,4,67,2,-,-,-,-,22.7
7,George Kittle,SF,KC,TE,-,-,-,-,-,6,98,1,-,-,-,-,21.8
7,Mike Williams,LAC,SEA,WR,-,-,-,-,-,7,86,1,-,-,-,-,21.6
7,Raheem Mostert,MIA,PIT,RB,-,-,-,79,-,4,30,1,-,-,-,-,20.9
7,DeAndre Hopkins,ARI,NO,WR,-,-,-,-,-,10,103,-,-,-,-,-,20.3
7,Juwan Johnson,NO,ARI,TE,-,-,-,-,-,5,32,2,-,-,-,-,20.2
7,D.J. Moore,CAR,TB,WR,-,-,-,-3,-,7,69,1,-,-,-,-,19.6
7,Travis Etienne,JAX,NYG,RB,-,-,-,114,1,1,5,-,-,-,1,1,18.9
7,Nick Chubb,CLE,BAL,RB,-,-,-,91,1,2,16,-,-,-,-,-,18.7
7,Trevor Lawrence,JAX,NYG,QB,310,-,-,3,1,-,-,-,-,-,-,-,18.7
7,Gus Edwards,BAL,CLE,RB,-,-,-,66,2,-,-,-,-,-,-,-,18.6
7,Mike Evans,TB,CAR,WR,-,-,-,-,-,9,96,-,-,-,-,-,18.6
7,Terry McLaurin,WAS,GB,WR,-,-,-,-,-,5,73,1,-,-,-,-,18.3
7,Justin Herbert,LAC,SEA,QB,293,2,1,22,-,1,-8,-,-,-,-,1,18.12
7,Joe Mixon,CIN,ATL,RB,-,-,-,58,1,3,33,-,-,-,-,-,18.1
7,George Pickens,PIT,MIA,WR,-,-,-,-,-,6,61,1,-,-,-,-,18.1
7,Davis Mills,HOU,LV,QB,302,2,1,-,-,-,-,-,-,-,-,-,18.08
7,Ezekiel Elliott,DAL,DET,RB,-,-,-,57,2,-,-,-,-,-,-,-,17.7
7,Chris Olave,NO,ARI,WR,-,-,-,-,-,7,106,-,-,-,-,-,17.6
7,Davante Adams,LV,HOU,WR,-,-,-,-,-,8,95,-,-,-,-,-,17.5
7,Saquon Barkley,NYG,JAX,RB,-,-,-,110,-,4,25,-,-,-,-,-,17.5
7,Alvin Kamara,NO,ARI,RB,-,-,-,49,-,7,56,-,-,-,-,-,17.5
7,Kyler Murray,ARI,NO,QB,204,1,-,30,-,-,-,-,-,-,1,-,17.16
7,Christian Kirk,JAX,NYG,WR,-,-,-,5,-,7,96,-,-,-,-,-,17.1
7,Derrick Henry,TEN,IND,RB,-,-,-,128,-,3,10,-,-,-,-,-,16.8
7,Antonio Gibson,WAS,GB,RB,-,-,-,59,-,3,18,1,-,-,-,-,16.7
7,Jerry Jeudy,DEN,NYJ,WR,-,-,-,-,-,7,96,-,-,-,-,-,16.6
7,D'Onta Foreman,CAR,TB,RB,-,-,-,118,-,2,27,-,-,-,-,-,16.5
7,Ray-Ray McCloud,SF,KC,WR,-,-,-,-,-,4,65,1,-,-,-,-,16.5
7,Jimmy Garoppolo,SF,KC,QB,303,2,1,2,-,-,-,-,-,-,-,1,16.32
7,Tua Tagovailoa,MIA,PIT,QB,261,1,-,15,-,-,-,-,-,-,-,-,15.94
7,Travis Kelce,KC,SF,TE,-,-,-,-,-,6,98,-,-,-,-,-,15.8
7,Aaron Rodgers,GB,WAS,QB,194,2,-,-,-,-,-,-,-,-,-,-,15.76
7,Khalil Herbert,CHI,NE,RB,-,-,-,62,-,1,25,1,-,-,-,-,15.7
7,Dameon Pierce,HOU,LV,RB,-,-,-,92,-,4,25,-,-,-,-,-,15.7
7,Pat Freiermuth,PIT,MIA,TE,-,-,-,-,-,8,75,-,-,-,-,-,15.5
7,Jonathan Taylor,IND,TEN,RB,-,-,-,58,-,7,27,-,-,-,-,-,15.5
7,Chuba Hubbard,CAR,TB,RB,-,-,-,63,1,2,10,-,-,-,-,-,15.3
