Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
11,Tony Pollard,DAL,MIN,RB,-,-,-,80,-,6,109,2,-,-,-,-,36.9
11,Travis Kelce,KC,LAC,TE,-,-,-,-,-,6,115,3,-,-,-,-,35.5
11,Davante Adams,LV,DEN,WR,-,-,-,-,-,7,141,2,-,-,-,-,33.1
11,Amari Cooper,CLE,BUF,WR,-,-,-,-,-,8,113,2,-,-,-,-,31.3
11,Josh Palmer,LAC,KC,WR,-,-,-,-,-,8,106,2,-,-,-,-,30.6
11,Samaje Perine,CIN,PIT,RB,-,-,-,30,-,4,52,3,-,-,-,-,30.2
11,Najee Harris,PIT,CIN,RB,-,-,-,90,2,4,26,-,-,-,-,-,27.6
11,Patrick Mahomes,KC,LAC,QB,329,3,-,23,-,-,-,-,-,-,-,-,27.46
11,Joe Burrow,CIN,PIT,QB,355,4,2,5,-,-,-,-,-,-,-,-,26.7
11,Jacoby Brissett,CLE,BUF,QB,324,3,-,29,-,-,-,-,-,-,-,1,25.86
11,Jimmy Garoppolo,SF,ARI,QB,228,4,-,3,-,-,-,-,-,-,-,-,25.42
11,Derrick Henry,TEN,GB,RB,4,1,-,87,1,2,45,-,-,-,-,-,25.36
11,Daniel Jones,NYG,DET,QB,341,1,2,50,1,-,-,-,-,-,-,-,24.64
11,George Kittle,SF,ARI,TE,-,-,-,-,-,4,84,2,-,-,-,-,24.4
11,Jamaal Williams,DET,NYG,RB,-,-,-,64,3,-,-,-,-,-,-,-,24.4
11,Jalen Hurts,PHI,IND,QB,190,1,-,86,1,-,-,-,-,-,-,1,24.2
11,Tee Higgins,CIN,PIT,WR,-,-,-,-,-,9,148,-,-,-,-,-,23.8
11,Justin Fields,CHI,ATL,QB,153,1,1,85,1,-,-,-,-,-,-,-,22.62
11,Deebo Samuel,SF,ARI,WR,-,-,-,37,1,7,57,-,-,-,-,-,22.4
11,Andy Dalton,NO,LA,QB,260,3,-,-2,-,-,-,-,-,-,-,-,22.2
11,Demarcus Robinson,BAL,CAR,WR,-,-,-,-,-,9,128,-,-,-,-,-,21.8
11,Chris Olave,NO,LA,WR,-,-,-,-,-,5,102,1,-,-,-,-,21.2
11,David Montgomery,CHI,ATL,RB,-,-,-,67,1,3,54,-,-,-,-,-,21.1
11,Christian Watson,GB,TEN,WR,-,-,-,3,-,4,48,2,-,-,-,-,21.1
11,Dak Prescott,DAL,MIN,QB,276,2,-,16,-,-,-,-,-,-,-,-,20.64
11,Derek Carr,LV,DEN,QB,307,2,-,-,-,-,-,-,-,-,-,-,20.28
11,Justin Herbert,LAC,KC,QB,280,2,1,17,-,1,-2,-,-,-,-,-,19.7
11,Austin Hooper,TEN,GB,TE,-,-,-,-,-,4,36,2,-,-,-,-,19.6
11,Wan'Dale Robinson,NYG,DET,WR,-,-,-,4,-,9,100,-,-,-,-,-,19.4
11,Greg Dortch,ARI,SF,WR,-,-,-,-,-,9,103,-,-,-,-,-,19.3
11,Aaron Rodgers,GB,TEN,QB,227,2,-,-,-,-,-,-,-,-,1,-,19.08
11,Ryan Tannehill,TEN,GB,QB,333,2,1,-3,-,-,-,-,-,-,-,-,19.02
11,Josh Jacobs,LV,DEN,RB,-,-,-,109,-,3,51,-,-,-,-,-,19
11,George Pickens,PIT,CIN,WR,-,-,-,-,-,4,83,1,-,-,-,-,18.3
11,Treylon Burks,TEN,GB,WR,-,-,-,-,-,7,111,-,-,-,-,-,18.1
11,DeAndre Hopkins,ARI,SF,WR,-,-,-,-,-,9,91,-,-,-,-,-,18.1
11,Austin Ekeler,LAC,KC,RB,-,-,-,83,1,2,17,-,-,-,-,-,18
11,Marcus Mariota,ATL,CHI,QB,131,1,-,25,1,-,-,-,-,-,-,-,17.74
11,Ezekiel Elliott,DAL,MIN,RB,-,-,-,42,2,1,5,-,-,-,-,-,17.7
11,Devin Singletary,BUF,CLE,RB,-,-,-,86,1,2,11,-,-,-,-,-,17.7
11,Christian McCaffrey,SF,ARI,RB,-,-,-,39,-,7,67,-,-,-,-,-,17.6
11,Latavius Murray,DEN,LV,RB,-,-,-,49,1,4,23,-,-,-,-,-,17.2
11,Donovan Peoples-Jones,CLE,BUF,WR,-,-,-,-,-,5,61,1,-,-,-,-,17.1
11,Jonathan Taylor,IND,PHI,RB,-,-,-,84,1,3,10,-,-,-,-,1,16.4
11,Brandon Aiyuk,SF,ARI,WR,-,-,-,-,-,2,20,2,-,-,-,-,16
11,Kenny Pickett,PIT,CIN,QB,265,1,-,14,-,-,-,-,-,-,-,-,16
11,Pat Freiermuth,PIT,CIN,TE,-,-,-,-,-,8,79,-,-,-,-,-,15.9
11,Lamar Jackson,BAL,CAR,QB,209,-,1,31,1,-,-,-,-,-,-,-,15.46
11,Amon-Ra St. Brown,DET,NYG,WR,-,-,-,4,-,7,76,-,-,-,-,-,15
11,Stefon Diggs,BUF,CLE,WR,-,-,-,-,-,4,48,1,-,-,-,-,14.8
11,Matthew Stafford,LA,NO,QB,159,2,-,4,-,-,-,-,-,-,-,-,14.76
11,Allen Robinson,LA,NO,WR,-,-,-,-,-,4,47,1,-,-,-,-,14.7
11,Rhamondre Stevenson,NE,NYJ,RB,-,-,-,26,-,6,56,-,-,-,-,-,14.2
11,Aaron Jones,GB,TEN,RB,-,-,-,40,-,6,20,-,-,-,1,-,14
