Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
8,Alvin Kamara,NO,LV,RB,-,-,-,62,1,9,96,2,-,-,-,-,42.8
8,Christian McCaffrey,SF,LA,RB,34,1,-,94,1,8,55,1,-,-,-,-,40.26
8,A.J. Brown,PHI,PIT,WR,-,-,-,-,-,6,156,3,-,-,-,-,39.6
8,Derrick Henry,TEN,HOU,RB,-,-,-,219,2,1,9,-,-,-,-,-,35.8
8,DeAndre Hopkins,ARI,MIN,WR,-,-,-,-,-,12,159,1,-,-,-,-,33.9
8,Tony Pollard,DAL,CHI,RB,-,-,-,131,3,1,16,-,-,-,-,-,33.7
8,D'Onta Foreman,CAR,ATL,RB,-,-,-,118,3,-,-,-,-,-,1,-,31.8
8,Tyreek Hill,MIA,DET,WR,-,-,-,7,-,12,188,-,-,-,-,-,31.5
8,Jaylen Waddle,MIA,DET,WR,-,-,-,-,-,8,106,2,-,-,-,-,30.6
8,Tua Tagovailoa,MIA,DET,QB,382,3,-,19,-,-,-,-,-,-,-,-,29.18
8,Jalen Hurts,PHI,PIT,QB,285,4,-,10,-,-,-,-,-,-,-,-,28.4
8,D.J. Moore,CAR,ATL,WR,-,-,-,3,-,6,152,1,-,-,-,-,27.5
8,Justin Fields,CHI,DAL,QB,151,2,-,60,1,-,-,-,-,-,-,-,26.04
8,Tyler Conklin,NYJ,NE,TE,-,-,-,-,-,6,79,2,-,-,-,-,25.9
8,Nick Chubb,CLE,CIN,RB,-,-,-,101,2,1,3,-,-,-,1,-,25.4
8,Dak Prescott,DAL,CHI,QB,250,2,1,34,1,-,-,-,-,-,-,-,25.4
8,Travis Etienne,JAX,DEN,RB,-,-,-,156,1,3,6,-,-,-,-,-,25.2
8,Dalvin Cook,MIN,ARI,RB,-,-,-,111,1,5,30,-,-,-,-,-,25.1
8,Kyler Murray,ARI,MIN,QB,326,3,2,36,-,-,-,-,-,-,-,-,24.64
8,Kirk Cousins,MIN,ARI,QB,232,2,-,22,1,-,-,-,-,-,-,1,23.48
8,Rondale Moore,ARI,MIN,WR,-,-,-,12,-,7,92,1,-,-,-,-,23.4
8,Cooper Kupp,LA,SF,WR,-,-,-,10,-,8,79,1,-,-,-,-,22.9
8,Stefon Diggs,BUF,GB,WR,-,-,-,-,-,6,108,1,-,-,-,-,22.8
8,Jamaal Williams,DET,MIA,RB,-,-,-,53,2,3,23,-,-,-,-,-,22.6
8,Marcus Mariota,ATL,CAR,QB,253,3,2,43,-,-,-,-,-,-,-,-,22.42
8,Amari Cooper,CLE,CIN,WR,-,-,1,-,-,5,131,1,-,-,-,-,22.1
8,Taylor Heinicke,WAS,IND,QB,279,1,1,29,1,-,-,-,-,-,-,-,22.06
8,Lamar Jackson,BAL,TB,QB,238,2,-,43,-,-,-,-,-,-,-,-,21.82
8,Rhamondre Stevenson,NE,NYJ,RB,-,-,-,71,-,7,72,-,-,-,-,-,21.3
8,Jakobi Meyers,NE,NYJ,WR,-,-,-,-,-,9,60,1,-,-,-,-,21
8,Antonio Gibson,WAS,IND,RB,-,-,-,19,-,7,58,1,-,-,-,-,20.7
8,Jacoby Brissett,CLE,CIN,QB,278,1,-,12,1,-,-,-,-,-,-,1,20.32
8,Brandon Aiyuk,SF,LA,WR,-,-,-,-,-,6,81,1,-,-,-,-,20.1
8,Aaron Jones,GB,BUF,RB,-,-,-,143,-,4,14,-,-,-,-,-,19.7
8,Isaiah Likely,BAL,TB,TE,-,-,-,-,-,6,77,1,-,-,-,-,19.7
8,Geno Smith,SEA,NYG,QB,212,2,-,26,-,-,-,-,-,-,-,-,19.08
8,Kyle Pitts,ATL,CAR,TE,-,-,-,-,-,5,80,1,-,-,-,-,19
8,CeeDee Lamb,DAL,CHI,WR,-,-,-,1,-,5,77,1,-,-,-,-,18.8
8,Jared Goff,DET,MIA,QB,321,1,-,3,-,1,5,-,-,-,-,-,18.64
8,Mike Evans,TB,BAL,WR,-,-,-,-,-,6,123,-,-,-,-,-,18.3
8,Jerry Jeudy,DEN,JAX,WR,-,-,-,-,-,6,63,1,-,-,-,-,18.3
8,Jimmy Garoppolo,SF,LA,QB,235,2,-,3,-,-,-,-,-,-,-,-,17.7
8,Josh Allen,BUF,GB,QB,218,2,2,49,-,-,-,-,-,-,-,-,17.62
8,Tyler Allgeier,ATL,CAR,RB,-,-,-,39,-,3,46,1,-,-,-,-,17.5
8,DK Metcalf,SEA,NYG,WR,-,-,-,-,-,6,55,1,-,-,-,-,17.5
8,Garrett Wilson,NYJ,NE,WR,-,-,-,-,-,6,115,-,-,-,-,-,17.5
8,Matthew Stafford,LA,SF,QB,187,1,-,-1,1,-,-,-,-,-,-,-,17.38
8,Andy Dalton,NO,LV,QB,229,2,-,-,-,-,-,-,-,-,-,-,17.16
8,Tom Brady,TB,BAL,QB,325,1,-,1,-,-,-,-,-,-,-,-,17.1
8,Kenyan Drake,BAL,TB,RB,-,-,-,62,-,4,5,1,-,-,-,-,16.7
8,P.J. Walker,CAR,ATL,QB,317,1,1,20,-,-,-,-,-,-,-,-,16.68
8,Terry McLaurin,WAS,IND,WR,-,-,-,-7,-,6,113,-,-,-,-,-,16.6
8,Devin Duvernay,BAL,TB,WR,-,-,-,33,1,4,31,-,-,-,-,-,16.4
8,Zach Wilson,NYJ,NE,QB,355,2,3,2,-,-,-,-,-,-,-,-,16.4
8,Romeo Doubs,GB,BUF,WR,-,-,-,-,-,4,62,1,-,-,-,-,16.2
8,Khalil Herbert,CHI,DAL,RB,-,-,-,99,1,-,-,-,-,-,-,-,15.9
8,Justin Jefferson,MIN,ARI,WR,-,-,-,-,-,6,98,-,-,-,-,-,15.8
8,Damiere Byrd,ATL,CAR,WR,-,-,-,-,-,3,67,1,-,-,-,-,15.7
8,Evan Engram,JAX,DEN,TE,-,-,-,-,-,4,55,1,-,-,-,-,15.5
8,Tyler Lockett,SEA,NYG,WR,-,-,-,-,-,5,63,1,-,-,-,1,15.3
8,Aaron Rodgers,GB,BUF,QB,203,2,1,11,-,-,-,-,-,-,-,-,15.22
8,Saquon Barkley,NYG,SEA,RB,-,-,-,53,1,3,9,-,-,-,-,-,15.2
8,Leonard Fournette,TB,BAL,RB,-,-,-,24,1,3,34,-,-,-,-,-,14.8
8,D'Andre Swift,DET,MIA,RB,-,-,-,6,-,5,27,1,-,-,-,-,14.3
8,Melvin Gordon,KC,Bye,RB,-,-,-,29,1,3,23,-,-,-,-,-,14.2
8,Dameon Pierce,HOU,TEN,RB,-,-,-,35,-,3,16,1,-,-,-,-,14.1
8,Tee Higgins,CIN,CLE,WR,-,-,-,-,-,3,49,1,-,-,-,-,13.9
8,Amon-Ra St. Brown,DET,MIA,WR,-,-,-,-,-,7,69,-,-,-,-,-,13.9
8,Miles Sanders,PHI,PIT,RB,-,-,-,78,1,-,-,-,-,-,-,-,13.8
8,Russell Wilson,DEN,JAX,QB,252,1,1,17,-,-,-,-,-,-,-,-,13.78
8,Zach Pascal,PHI,PIT,WR,-,-,-,-,-,2,57,1,-,-,-,-,13.7
8,Chris Godwin,TB,BAL,WR,-,-,-,-,-,6,75,-,-,-,-,-,13.5
8,Joe Burrow,CIN,CLE,QB,232,2,1,2,-,-,-,-,-,-,-,1,13.48
8,Zach Ertz,ARI,MIN,TE,-,-,-,-,-,4,34,1,-,-,-,-,13.4
8,Mack Hollins,LV,NO,WR,-,-,-,-,-,7,64,-,-,-,-,-,13.4
8,Dalton Schultz,DAL,CHI,TE,-,-,-,-,-,6,74,-,-,-,-,-,13.4
8,Nyheim Hines,BUF,GB,RB,-,-,-,20,1,2,29,-,-,-,-,-,12.9
8,George Kittle,SF,LA,TE,-,-,-,-,-,3,39,1,-,-,-,-,12.9
8,Joe Mixon,CIN,CLE,RB,-,-,-,27,-,7,32,-,-,-,-,-,12.9
8,Latavius Murray,DEN,JAX,RB,-,-,-,46,1,1,13,-,-,-,-,-,12.9
8,Tyler Boyd,CIN,CLE,WR,-,-,-,-,-,3,38,1,-,-,-,-,12.8
8,Mike Gesicki,MIA,DET,TE,-,-,-,-,-,3,38,1,-,-,-,-,12.8
8,Greg Dulcich,DEN,JAX,TE,-,-,-,-,-,4,87,-,-,-,-,-,12.7
8,Terrace Marshall Jr.,CAR,ATL,WR,-,-,-,-,-,4,87,-,-,-,-,-,12.7
8,Adam Thielen,MIN,ARI,WR,-,-,-,-,-,6,67,-,-,-,-,-,12.7
8,Chase Claypool,CHI,DAL,WR,1,1,-,-,-,4,45,-,-,-,-,-,12.54
8,Dallas Goedert,PHI,PIT,TE,-,-,-,-,-,6,64,-,-,-,-,-,12.4
8,Demarcus Robinson,BAL,TB,WR,-,-,-,-,-,6,64,-,-,-,-,-,12.4
8,Michael Pittman,IND,WAS,WR,-,-,-,-,-,7,53,-,-,-,-,-,12.3
8,Kenneth Walker III,SEA,NYG,RB,-,-,-,51,1,1,1,-,-,-,-,-,12.2
8,Donovan Peoples-Jones,CLE,CIN,WR,-,-,-,-,-,4,81,-,-,-,-,-,12.1
8,Darnell Mooney,CHI,DAL,WR,-,-,-,-,-,5,70,-,-,-,-,-,12
8,Najee Harris,PIT,PHI,RB,4,-,-,32,-,6,26,-,-,-,-,-,11.96
8,Mac Jones,NE,NYJ,QB,194,1,1,19,-,-,-,-,-,-,-,-,11.66
8,Darius Slayton,NYG,SEA,WR,-,-,-,-,-,5,66,-,-,-,-,-,11.6
8,Brandin Cooks,HOU,TEN,WR,-,-,-,-,-,4,73,-,-,-,-,-,11.3
8,Kareem Hunt,CLE,CIN,RB,-,-,-,42,-,4,30,-,-,-,-,-,11.2
8,T.J. Hockenson,MIN,ARI,TE,-,-,-,-,-,3,80,-,-,-,-,-,11
8,Curtis Samuel,WAS,IND,WR,-,-,-,29,-,3,50,-,-,-,-,-,10.9
8,Samori Toure,GB,BUF,WR,-,-,-,-,-,1,37,1,-,-,-,-,10.7
8,Kalif Raymond,DET,MIA,WR,-,-,-,-,-,3,76,-,-,-,-,-,10.6
8,Dontrell Hilliard,TEN,HOU,RB,-,-,-,83,-,1,12,-,-,-,-,-,10.5
8,Jaylen Warren,PIT,PHI,RB,-,-,-,50,-,3,25,-,-,-,-,-,10.5
8,N'Keal Harry,CHI,DAL,WR,-,-,-,-,-,2,24,1,-,-,-,-,10.4
8,Allen Robinson,LA,SF,WR,-,-,-,-,-,5,54,-,-,-,-,-,10.4
8,Chris Olave,NO,LV,WR,-,-,-,-,-,5,52,-,-,-,-,-,10.2
8,Michael Carter,NYJ,NE,RB,-,-,-,26,-,4,35,-,-,-,-,-,10.1
8,Julio Jones,TB,BAL,WR,-,-,-,-,-,2,21,1,-,-,-,-,10.1
8,Alexander Mattison,MIN,ARI,RB,-,-,-,40,1,-,-,-,-,-,-,-,10
8,Pat Freiermuth,PIT,PHI,TE,-,-,-,-,-,4,57,-,-,-,-,-,9.7
8,Denzel Mims,NYJ,NE,WR,-,-,-,-,-,2,76,-,-,-,-,-,9.6
8,Alec Pierce,IND,WAS,WR,-,-,-,-,-,3,65,-,-,-,-,-,9.5
8,Devin Singletary,BUF,GB,RB,-,-,-,67,-,1,16,-,-,-,-,-,9.3
8,Parris Campbell,IND,WAS,WR,-,-,-,28,-,2,43,-,-,-,-,-,9.1
8,Caleb Huntley,ATL,CAR,RB,-,-,-,91,-,-,-,-,-,-,-,-,9.1
8,Cole Kmet,CHI,DAL,TE,-,-,-,-,-,2,11,1,-,-,-,-,9.1
8,Foster Moreau,LV,NO,TE,-,-,-,-,-,6,31,-,-,-,-,-,9.1
8,Daniel Jones,NYG,SEA,QB,176,-,-,20,-,-,-,-,-,-,-,-,9.04
8,Dawson Knox,BUF,GB,TE,-,-,-,-,-,2,10,1,-,-,-,-,9
8,Michael Gallup,DAL,CHI,WR,-,-,-,-,-,4,49,-,-,-,-,-,8.9
8,Davis Mills,HOU,TEN,QB,152,1,1,8,-,-,-,-,-,-,-,-,8.88
