,,,,,Passing,,,Rushing,,Receiving,,,Returns,Misc,,Fumbles,Fantasy
Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
5,Chris Myarick,NYG,GB,TE,-,-,-,-,-,1,4,-,-,-,-,-,1.4
5,Gerald Everett,LAC,CLE,TE,-,-,-,-,-,1,2,-,-,-,-,-,1.2
5,Ryan Griffin,CHI,MIN,TE,-,-,-,-,-,1,1,-,-,-,-,-,1.1
5,Tyler Davis,GB,NYG,TE,-,-,-,-,-,1,-3,-,-,-,-,-,0.7
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Kicker,,,,,,,,,,,,,,,,
5,Nick Folk,NE,DET,K,2,-,1,3,1,-,17,,,,,,
5,Chase McLaughlin,IND,DEN,K,-,-,-,1,1,2,16,,,,,,
5,Daniel Carlson,LV,KC,K,2,-,-,-,1,2,15,,,,,,
5,Justin Tucker,BAL,CIN,K,1,-,1,1,1,1,15,,,,,,
5,Cairo Santos,CHI,MIN,K,1,-,-,-,1,2,14,,,,,,
5,Taylor Bertolet,LAC,CLE,K,3,-,3,-,-,-,12,,,,,,
5,Ka'imi Fairbairn,HOU,JAX,K,1,-,-,-,-,2,11,,,,,,
5,Brett Maher,DAL,LA,K,1,-,-,2,1,-,10,,,,,,
5,Jason Myers,SEA,NO,K,2,-,-,1,-,1,10,,,,,,
5,Graham Gano,NYG,GB,K,3,-,-,1,1,-,9,,,,,,
5,Wil Lutz,NO,SEA,K,4,-,-,-,-,1,9,,,,,,
5,Brandon McManus,DEN,IND,K,-,-,-,1,2,-,9,,,,,,
5,Eddy Pineiro,CAR,SF,K,-,-,-,2,1,-,9,,,,,,
5,Tyler Bass,BUF,PIT,K,5,-,-,1,-,-,8,,,,,,
5,Mason Crosby,GB,NYG,K,2,-,-,-,2,-,8,,,,,,
5,Matthew Wright,KC,LV,K,3,-,-,-,-,1,8,,,,,,
5,Greg Zuerlein,NYJ,,K,5,-,-,1,-,-,8,,,,,,
5,Joey Slye,WAS,,K,2,-,-,-,-,1,7,,,,,,
5,Ryan Succop,TB,,K,1,-,1,-,1,-,7,,,,,,
5,Robbie Gould,SF,,K,3,-,-,-,1,-,6,,,,,,
5,Riley Patterson,JAX,,K,-,-,1,-,1,-,6,,,,,,
5,Matt Ammendola,ARI,,K,2,-,1,-,-,-,5,,,,,,
5,Evan McPherson,CIN,,K,2,-,-,-,1,-,5,,,,,,
5,Jason Sanders,MIA,,K,2,-,-,-,1,-,5,,,,,,
5,Matt Gay,LA,,K,1,-,1,-,-,-,4,,,,,,
5,Cade York,CLE,,K,4,-,-,-,-,-,4,,,,,,
5,Chris Boswell,PIT,,K,-,-,1,-,-,-,3,,,,,,
5,Randy Bullock,TEN,,K,3,-,-,-,-,-,3,,,,,,
5,Greg Joseph,MIN,,K,3,-,-,-,-,-,3,,,,,,
5,Younghoe Koo,ATL,,K,1,-,-,-,-,-,1,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Defence,,,,,,,,,,,,,,,,
5,New England Patriots,,,DEF,2,1,1,-,1,-,-,0,22,,,,
5,Dallas Cowboys,,,DEF,5,1,2,-,1,-,-,10,21,,,,
5,San Francisco 49ers,,,DEF,6,1,-,-,1,-,-,15,15,,,,
5,Buffalo Bills,,,DEF,3,1,1,-,-,-,-,3,14,,,,
5,Denver Broncos,,,DEF,6,2,-,-,-,-,-,12,14,,,,
5,Indianapolis Colts,,,DEF,4,2,-,-,-,-,-,9,12,,,,
5,Houston Texans,,,DEF,-,2,-,-,-,-,-,6,11,,,,
5,New York Jets,,,DEF,2,1,1,1,-,-,-,17,9,,,,
5,Tampa Bay Buccaneers,,,DEF,5,-,-,-,-,-,-,15,6,,,,
5,Baltimore Ravens,,,DEF,3,1,-,-,-,-,-,17,6,,,,
5,Tennessee Titans,,,DEF,3,1,-,-,-,-,-,17,6,,,,
5,Washington Commanders,,,DEF,5,-,-,-,-,-,-,21,5,,,,
5,Jacksonville Jaguars,,,DEF,1,-,-,-,-,-,-,13,5,,,,
5,Cincinnati Bengals,,,DEF,1,1,-,-,-,-,-,19,4,,,,
5,Philadelphia Eagles,,,DEF,1,1,-,-,-,-,-,17,4,,,,
5,Los Angeles Rams,,,DEF,3,-,-,-,-,-,-,16,4,,,,
5,New Orleans Saints,,,DEF,3,-,1,-,-,-,-,32,4,,,,
5,Minnesota Vikings,,,DEF,2,-,1,-,-,-,-,22,4,,,,
5,Arizona Cardinals,,,DEF,2,-,-,-,-,-,-,20,3,,,,
5,New York Giants,,,DEF,2,-,-,-,-,-,-,20,3,,,,
5,Green Bay Packers,,,DEF,1,-,-,1,-,-,-,27,3,,,,
5,Carolina Panthers,,,DEF,2,-,1,-,-,-,-,31,3,,,,
5,Chicago Bears,,,DEF,1,1,-,-,-,-,-,29,2,,,,
5,Detroit Lions,,,DEF,-,1,-,-,-,-,-,23,2,,,,
5,Las Vegas Raiders,,,DEF,3,-,-,-,-,-,-,30,2,,,,
5,Los Angeles Chargers,,,DEF,-,1,-,-,-,-,-,28,1,,,,
5,Kansas City Chiefs,,,DEF,2,-,-,-,-,-,-,29,1,,,,
5,Seattle Seahawks,,,DEF,1,1,1,-,-,-,-,39,1,,,,
5,Cleveland Browns,,,DEF,1,-,-,-,-,-,-,30,0,,,,
5,Atlanta Falcons,,,DEF,-,-,-,-,-,-,-,21,0,,,,
5,Pittsburgh Steelers,,,DEF,-,1,1,-,-,-,-,38,0,,,,
5,Miami Dolphins,,,DEF,2,-,-,-,-,-,-,38,-2,,,,
