,,,,,Passing,,,Rushing,,Receiving,,,Returns,Misc,,Fumbles,Fantasy
Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
5,Joe Mixon,CIN,BAL,RB,-,-,-,78,-,3,10,-,-,-,-,-,11.8
5,Mike Boone,DEN,IND,RB,-,-,-,38,-,3,47,-,-,-,-,-,11.5
5,Jaylen Warren,PIT,BUF,RB,-,-,-,24,-,4,39,-,-,-,-,-,10.3
5,Aaron Jones,GB,NYG,RB,-,-,-,63,-,2,17,-,-,-,-,-,10
5,Samaje Perine,CIN,BAL,RB,-,-,-,17,-,4,39,-,-,-,-,-,9.6
5,Jerick McKinnon,KC,LV,RB,-,-,-,53,-,2,19,-,-,-,-,-,9.2
5,James Cook,BUF,PIT,RB,-,-,-,31,1,-,-,-,-,-,-,-,9.1
5,J.D. McKissic,WAS,TEN,RB,-,-,-,-,-,5,37,-,-,-,-,-,8.7
5,Phillip Lindsay,IND,DEN,RB,-,-,-,40,-,3,14,-,-,-,-,-,8.4
5,Miles Sanders,PHI,ARI,RB,-,-,-,58,-,2,6,-,-,-,-,-,8.4
5,Ezekiel Elliott,DAL,LA,RB,-,-,-,78,-,-,-,-,-,-,-,-,7.8
5,James Conner,ARI,PHI,RB,-,-,-,55,-,1,8,-,-,-,-,-,7.3
5,Rachaad White,TB,ATL,RB,-,-,-,14,-,3,28,-,-,-,-,-,7.2
5,Darrell Henderson,LA,DAL,RB,-,-,-,-,-,4,30,-,-,-,-,-,7
5,Alexander Mattison,MIN,CHI,RB,-,-,-,19,-,3,21,-,-,-,-,-,7
5,Antonio Gibson,WAS,TEN,RB,-,-,-,6,-,3,33,-,-,-,-,-,6.9
5,Najee Harris,PIT,BUF,RB,-,-,-,20,-,3,16,-,-,-,-,-,6.6
5,Gary Brightwell,NYG,GB,RB,-,-,-,5,1,-,-,-,-,-,-,-,6.5
5,Clyde Edwards-Helaire,KC,LV,RB,-,-,-,15,-,3,20,-,-,-,-,-,6.5
5,Brandon Bolden,LV,KC,RB,-,-,-,5,-,3,29,-,-,-,-,-,6.4
5,Myles Gaskin,MIA,NYJ,RB,-,-,-,9,-,3,24,-,-,-,-,-,6.3
5,James Robinson,JAX,HOU,RB,-,-,-,27,-,2,12,-,-,-,-,-,5.9
5,Devin Singletary,BUF,PIT,RB,-,-,-,42,-,1,4,-,-,-,-,-,5.6
5,Jamaal Williams,DET,NE,RB,-,-,-,56,-,-,-,-,-,-,-,-,5.6
5,Rashaad Penny,SEA,NO,RB,-,-,-,54,-,-,-,-,-,-,-,-,5.4
5,Rex Burkhead,HOU,JAX,RB,-,-,-,15,-,2,13,-,-,-,-,-,4.8
5,Matt Breida,NYG,GB,RB,-,-,-,14,-,2,13,-,-,-,-,-,4.7
5,Kyle Juszczyk,SF,CAR,RB,-,-,-,-,-,2,27,-,-,-,-,-,4.7
5,Tyler Allgeier,ATL,TB,RB,-,-,-,45,-,-,-,-,-,-,-,-,4.5
5,J.K. Dobbins,BAL,CIN,RB,-,-,-,44,-,-,-,-,-,-,-,-,4.4
5,Kenyan Drake,BAL,CIN,RB,-,-,-,26,-,1,1,-,-,-,-,-,3.7
5,Mark Ingram,NO,SEA,RB,-,-,-,16,-,-,-,-,-,-,1,-,3.6
5,AJ Dillon,GB,NYG,RB,-,-,-,34,-,-,-,-,-,-,-,-,3.4
5,Caleb Huntley,ATL,TB,RB,-,-,-,34,-,-,-,-,-,-,-,-,3.4
5,Cam Akers,LA,DAL,RB,-,-,-,33,-,-,-,-,-,-,-,-,3.3
5,Damien Harris,NE,DET,RB,-,-,-,11,-,1,1,-,-,-,-,-,2.2
5,Brian Robinson,WAS,TEN,RB,-,-,-,22,-,-,-,-,-,-,-,-,2.2
5,DeeJay Dallas,SEA,NO,RB,-,-,-,4,-,1,6,-,-,-,-,-,2
5,Kenneth Gainwell,PHI,ARI,RB,-,-,-,20,-,-,-,-,-,-,-,-,2
5,Nyheim Hines,IND,DEN,RB,-,-,-,3,-,1,5,-,-,-,-,-,1.8
5,Jakob Johnson,LV,KC,RB,-,-,-,-,-,1,5,-,-,-,-,-,1.5
5,Justin Jackson,DET,NE,RB,-,-,-,14,-,-,-,-,-,-,-,-,1.4
5,Khalil Herbert,CHI,MIN,RB,-,-,-,11,-,-,-,-,-,-,-,-,1.1
5,Derek Watt,PIT,BUF,RB,-,-,-,-,-,1,1,-,-,-,-,-,1.1
5,Darrel Williams,ARI,PHI,RB,-,-,-,9,-,-,-,-,-,-,-,-,0.9
5,Zack Moss,BUF,PIT,RB,-,-,-,7,-,-,-,-,-,-,-,-,0.7
5,JaMycal Hasty,JAX,HOU,RB,-,-,-,6,-,-,-,-,-,-,-,-,0.6
5,Mike Davis,BAL,CIN,RB,-,-,-,3,-,-,-,-,-,-,-,-,0.3
5,Zander Horvath,LAC,CLE,RB,-,-,-,3,-,-,-,-,-,-,-,-,0.3
5,D'Onta Foreman,CAR,SF,RB,-,-,-,2,-,-,-,-,-,-,-,-,0.2
5,Chase Edmonds,MIA,NYJ,RB,-,-,-,1,-,-,-,-,-,-,-,-,0.1
5,Gabe Davis,BUF,PIT,WR,-,-,-,-,-,3,171,2,-,-,-,-,32.1
5,Justin Jefferson,MIN,CHI,WR,23,-,-,-,-,12,154,-,-,-,1,-,30.32
5,Davante Adams,LV,KC,WR,-,-,-,-,-,3,124,2,-,-,-,-,27.4
5,Tyler Lockett,SEA,NO,WR,-,-,-,-,-,5,104,2,-,-,-,-,27.4
5,Cooper Kupp,LA,DAL,WR,-,-,-,4,-,7,125,1,-,-,-,-,25.9
5,Dyami Brown,WAS,TEN,WR,-,-,-,-,-,2,105,2,-,-,-,-,24.5
5,Stefon Diggs,BUF,PIT,WR,-,-,-,-,-,8,102,1,-,-,-,-,24.2
5,Jakobi Meyers,NE,DET,WR,-,-,-,-,-,7,111,1,-,-,-,-,24.1
5,Mike Williams,LAC,CLE,WR,-,-,-,-,-,10,134,-,-,-,-,-,23.4
5,Marquise Brown,ARI,PHI,WR,-,-,-,-,-,8,78,1,-,-,-,-,21.8
5,Amari Cooper,CLE,LAC,WR,-,-,-,-,-,7,76,1,-,-,-,-,20.6
5,DeVonta Smith,PHI,ARI,WR,-,-,-,-,-,10,87,-,-,-,-,-,18.7
5,DK Metcalf,SEA,NO,WR,-,-,-,-,-,5,88,1,-,-,-,1,17.8
5,Marvin Jones,JAX,HOU,WR,-,-,-,-,-,7,104,-,-,-,-,-,17.4
5,Randall Cobb,GB,NYG,WR,-,-,-,-,-,7,99,-,-,-,-,-,16.9
5,Khalil Shakir,BUF,PIT,WR,-,-,-,-,-,3,75,1,-,-,-,-,16.5
5,Alec Pierce,IND,DEN,WR,-,-,-,-,-,8,81,-,-,-,-,-,16.1
5,Chris Olave,NO,SEA,WR,-,-,-,-,-,4,54,1,-,-,-,-,15.4
5,Josh Reynolds,DET,NE,WR,-,-,-,-,-,6,92,-,-,-,-,-,15.2
5,Marquez Valdes-Scantling,KC,LV,WR,-,-,-,-,-,6,90,-,-,-,-,-,15
5,George Pickens,PIT,BUF,WR,-,-,-,-,-,6,83,-,-,-,-,-,14.3
5,Darius Slayton,NYG,GB,WR,-,-,-,-,-,6,79,-,-,-,-,-,13.9
5,Allen Lazard,GB,NYG,WR,-,-,-,-,-,4,35,1,-,-,-,-,13.5
5,Rondale Moore,ARI,PHI,WR,-,-,-,-7,-,7,68,-,-,-,-,-,13.1
5,Tyreek Hill,MIA,NYJ,WR,-,-,-,13,-,7,47,-,-,-,-,-,13
5,Devin Duvernay,BAL,CIN,WR,-,-,-,24,-,5,54,-,-,-,-,-,12.8
5,Terry McLaurin,WAS,TEN,WR,-,-,-,-,-,5,76,-,-,-,-,-,12.6
5,Courtland Sutton,DEN,IND,WR,-,-,-,-,-,5,74,-,-,-,-,-,12.4
5,Chris Godwin,TB,ATL,WR,-,-,-,2,-,6,61,-,-,-,-,-,12.3
5,Curtis Samuel,WAS,TEN,WR,-,-,-,-,-,6,62,-,-,-,-,-,12.2
5,Mike Evans,TB,ATL,WR,-,-,-,-,-,4,81,-,-,-,-,-,12.1
5,Ja'Marr Chase,CIN,BAL,WR,-,-,-,-,-,7,50,-,-,-,-,-,12
5,Mecole Hardman,KC,LV,WR,-,-,-,7,-,4,73,-,-,-,-,-,12
5,Olamide Zaccheaus,ATL,TB,WR,-,-,-,-,-,2,39,1,-,-,-,-,11.9
5,Deebo Samuel,SF,CAR,WR,-,-,-,12,-,2,20,1,-,-,-,-,11.2
5,Diontae Johnson,PIT,BUF,WR,-,-,-,-,-,5,60,-,-,-,-,-,11
5,Michael Pittman,IND,DEN,WR,-,-,-,-,-,5,59,-,-,-,-,-,10.9
5,Shi Smith,CAR,SF,WR,-,-,-,-,-,4,69,-,-,-,-,-,10.9
5,D.J. Moore,CAR,SF,WR,-,-,-,8,-,4,59,-,-,-,-,-,10.7
5,Nico Collins,HOU,JAX,WR,-,-,-,-,-,4,65,-,-,-,-,-,10.5
5,CeeDee Lamb,DAL,LA,WR,-,-,-,-,-,5,53,-,-,-,-,-,10.3
5,Ben Skowronek,LA,DAL,WR,-,-,-,-,-,6,41,-,-,-,-,-,10.1
5,Chase Claypool,PIT,BUF,WR,-,-,-,-,-,5,50,-,-,-,-,-,10
5,Kalif Raymond,DET,NE,WR,-,-,-,-,-,5,45,-,-,-,-,-,9.5
5,Nick Westbrook-Ikhine,TEN,WAS,WR,-,-,-,-,-,2,72,-,-,-,-,-,9.2
5,K.J. Osborn,MIN,CHI,WR,-,-,-,-,-,5,41,-,-,-,-,-,9.1
5,Donovan Peoples-Jones,CLE,LAC,WR,-,-,-,-,-,4,50,-,-,-,-,-,9
5,Brandon Aiyuk,SF,CAR,WR,-,-,-,-,-,3,58,-,-,-,-,-,8.8
5,Braxton Berrios,NYJ,MIA,WR,-,-,-,15,1,1,-1,-,-,-,-,-,8.4
5,Michael Gallup,DAL,LA,WR,-,-,-,-,-,4,44,-,-,-,-,-,8.4
5,KhaDarel Hodge,ATL,TB,WR,-,-,-,-,-,3,33,-,-,-,1,-,8.3
5,Jerry Jeudy,DEN,IND,WR,-,-,-,-,-,3,53,-,-,-,-,-,8.3
5,Isaiah Hodgins,BUF,PIT,WR,-,-,-,-,-,4,41,-,-,-,-,-,8.1
5,Velus Jones Jr.,CHI,MIN,WR,-,-,-,-,-,1,9,1,-,-,-,-,7.9
5,Robert Woods,TEN,WAS,WR,-,-,-,-,-,4,37,-,-,-,-,-,7.7
5,Drake London,ATL,TB,WR,-,-,-,-,-,4,35,-,-,-,-,-,7.5
5,Scott Miller,TB,ATL,WR,-,-,-,-,-,4,35,-,-,-,-,-,7.5
5,Darnell Mooney,CHI,MIN,WR,-,-,-,-,-,2,52,-,-,-,-,-,7.2
5,Jalen Reagor,MIN,CHI,WR,-,-,-,-,-,1,1,1,-,-,-,-,7.1
5,Terrace Marshall Jr.,CAR,SF,WR,-,-,-,-,-,4,30,-,-,-,-,-,7
5,Adam Thielen,MIN,CHI,WR,-,-,-,-,-,4,27,-,-,-,-,-,6.7
5,Jauan Jennings,SF,CAR,WR,-,-,-,-,-,2,45,-,-,-,-,-,6.5
5,Marcus Johnson,NYG,GB,WR,-,-,-,-,-,3,35,-,-,-,-,-,6.5
5,Hunter Renfrow,LV,KC,WR,-,-,-,-,-,4,25,-,-,-,-,-,6.5
5,Tutu Atwell,LA,DAL,WR,-,-,-,-,-,1,54,-,-,-,-,-,6.4
5,JuJu Smith-Schuster,KC,LV,WR,-,-,-,-,-,3,33,-,-,-,-,-,6.3
5,Tyler Boyd,CIN,BAL,WR,-,-,-,-,-,3,32,-,-,-,-,-,6.2
5,A.J. Brown,PHI,ARI,WR,-,-,-,-,-,3,32,-,-,-,-,-,6.2
5,Brandin Cooks,HOU,JAX,WR,-,-,-,-,-,4,20,-,-,-,-,-,6
5,Russell Gage,TB,ATL,WR,-,-,-,-,-,2,20,-,-,-,1,-,6
5,Romeo Doubs,GB,NYG,WR,-,-,-,-,-,3,29,-,-,-,-,-,5.9
5,Corey Davis,NYJ,MIA,WR,-,-,-,-,-,2,38,-,-,-,-,-,5.8
5,Amon-Ra St. Brown,DET,NE,WR,-,-,-,-,-,4,18,-,-,-,-,-,5.8
5,Garrett Wilson,NYJ,MIA,WR,-,-,-,-,-,3,27,-,-,-,-,-,5.7
5,Josh Palmer,LAC,CLE,WR,-,-,-,-,-,3,24,-,-,-,-,-,5.4
5,Jaylen Waddle,MIA,NYJ,WR,-,-,-,-,-,3,23,-,-,-,-,-,5.3
5,A.J. Green,ARI,PHI,WR,-,-,-,-,-,3,20,-,-,-,-,-,5
5,Quez Watkins,PHI,ARI,WR,-,-,-,-,-,3,19,-,-,-,-,-,4.9
5,Equanimeous St. Brown,CHI,MIN,WR,-,-,-,-,-,2,24,-,-,-,-,-,4.4
5,Mike Thomas,CIN,BAL,WR,-,-,-,-,-,1,33,-,-,-,-,-,4.3
5,Robbie Anderson,CAR,SF,WR,-,-,-,-,-,1,32,-,-,-,-,-,4.2
5,Parris Campbell,IND,DEN,WR,-,-,-,-,-,2,22,-,-,-,-,-,4.2
5,Zay Jones,JAX,HOU,WR,-,-,-,-,-,3,12,-,-,-,-,-,4.2
5,Allen Robinson,LA,DAL,WR,-,-,-,-,-,3,12,-,-,-,-,-,4.2
5,Ced Wilson,MIA,NYJ,WR,-,-,-,-,-,2,20,-,-,-,-,-,4
5,Richie James,NYG,GB,WR,-,-,-,-,-,2,16,-,-,-,-,-,3.6
5,Skyy Moore,KC,LV,WR,-,-,-,-,-,2,15,-,-,-,-,-,3.5
5,David Sills,NYG,GB,WR,-,-,-,-,-,2,12,-,-,-,-,-,3.2
5,DeAndre Carter,LAC,CLE,WR,-,-,-,-,-,2,9,-,-,-,-,-,2.9
5,Ashton Dulin,IND,DEN,WR,-,-,-,-,-,1,18,-,-,-,-,-,2.8
5,Tyquan Thornton,NE,DET,WR,-,-,-,-,-,2,7,-,-,-,-,-,2.7
5,Marquez Callaway,NO,SEA,WR,-,-,-,-,-,2,5,-,-,-,-,-,2.5
5,Miles Boykin,PIT,BUF,WR,-,-,-,-,-,1,11,-,-,-,-,-,2.1
5,Christian Kirk,JAX,HOU,WR,-,-,-,-,-,1,11,-,-,-,-,-,2.1
5,Elijah Moore,NYJ,MIA,WR,-,-,-,-,-,1,11,-,-,-,-,-,2.1
5,Jeff Smith,NYJ,MIA,WR,-,-,-,-,-,1,11,-,-,-,-,-,2.1
5,Bryan Edwards,ATL,TB,WR,-,-,-,-,-,1,10,-,-,-,-,-,2
5,KJ Hamler,DEN,IND,WR,-,-,-,-,-,1,10,-,-,-,-,-,2
5,Tre'Quan Smith,NO,SEA,WR,-,-,-,-,-,1,10,-,-,-,-,-,2
5,Justin Watson,KC,LV,WR,-,-,-,-,-,1,10,-,-,-,-,-,2
5,Demarcus Robinson,BAL,CIN,WR,-,-,-,-,-,1,8,-,-,-,-,-,1.8
5,Tylan Wallace,BAL,CIN,WR,-,-,-,-,-,1,8,-,-,-,-,-,1.8
5,Kyle Philips,TEN,WAS,WR,-,-,-,-,-,1,7,-,-,-,-,-,1.7
5,James Proche,BAL,CIN,WR,-,-,-,-,-,1,7,-,-,-,-,-,1.7
5,Cam Sims,WAS,TEN,WR,-,-,-,-,-,1,7,-,-,-,-,-,1.7
5,David Bell,CLE,LAC,WR,-,-,-,-,-,1,6,-,-,-,-,-,1.6
5,Noah Brown,DAL,LA,WR,-,-,-,-,-,1,5,-,-,-,-,-,1.5
5,Trent Sherfield,MIA,NYJ,WR,-,-,-,-,-,1,5,-,-,-,-,-,1.5
