Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
6,Joe Burrow,NO,CIN,QB,300,3,-,25,1,-,-,-,-,-,-,-,32.5
6,Ja'Marr Chase,NO,CINQ,WR,-,-,-,-,-,7,132,2,-,-,-,-,32.2
6,Stefon Diggs,KC,BUF,WR,-,-,-,-,-,10,148,1,-,-,-,-,30.8
6,Tyreek Hill,MIN,MIAQ,WR,-,-,-,-,-,12,177,-,-,-,-,-,29.7
6,Brandon Aiyuk,ATL,SF,WR,-,-,-,-,-,8,83,2,-,-,-,-,28.3
6,Deon Jackson,JAX,IND,RB,-,-,-,42,1,10,79,-,-,-,-,-,28.1
6,Matt Ryan,JAX,IND,QB,389,3,-,-4,-,-,-,-,-,-,-,-,27.16
6,Michael Pittman,JAX,IND,WR,-,-,-,-,-,13,134,-,-,-,-,-,26.4
6,Josh Allen,KC,BUF,QB,329,3,-,32,-,-,-,-,-,-,-,1,26.36
6,Rhamondre Stevenson,CLE,NE,RB,-,-,-,76,2,4,15,-,-,-,-,-,25.1
6,Mike Gesicki,MIN,MIA,TE,-,-,-,-,-,6,69,2,-,-,-,-,24.9
6,Trevor Lawrence,IND,JAX,QB,165,1,-,23,2,-,-,-,-,-,-,-,24.9
6,Austin Ekeler,DEN,LAC,RB,-,-,-,36,1,10,47,-,-,-,-,-,24.3
6,Marcus Mariota,SF,ATL,QB,129,2,-,50,1,-,-,-,-,-,-,-,24.16
6,Mark Andrews,NYG,BAL,TE,-,-,-,-,-,7,106,1,-,-,-,-,23.6
6,Chase Claypool,WAS,CHI,WR,-,-,-,8,-,7,96,1,-,-,-,-,23.4
6,Christian McCaffrey,ATL,SFQ,RB,-,-,-,69,-,7,89,-,-,-,-,-,22.8
6,JuJu Smith-Schuster,BUF,KC,WR,-,-,-,-,-,5,113,1,-,-,-,-,22.3
6,Leonard Fournette,PIT,TBQ,RB,-,-,-,63,-,6,38,1,-,-,-,-,22.1
6,Tyquan Thornton,CLE,NE,WR,-,-,-,16,1,4,37,1,-,-,-,-,21.3
6,Breece Hall,GB,NYJIR,RB,-,-,-,116,1,2,5,-,-,-,-,-,20.1
6,Kenyan Drake,NYG,BAL,RB,-,-,-,119,1,1,8,-,-,-,-,-,19.7
6,Patrick Mahomes,BUF,KC,QB,338,2,2,21,-,-,-,-,-,-,-,-,19.62
6,Travis Kelce,BUF,KC,TE,-,-,-,4,-,8,108,-,-,-,-,-,19.2
6,Robert Tonyan,NYJ,GB,TE,-,-,-,-,-,10,90,-,-,-,-,-,19
6,Kenneth Walker III,ARI,SEA,RB,-,-,-,97,1,2,13,-,-,-,-,-,19
6,Parris Campbell,JAX,IND,WR,-,-,-,-,-,7,57,1,-,-,-,-,18.7
6,Saquon Barkley,BAL,NYG,RB,-,-,-,83,1,3,12,-,-,-,-,-,18.5
6,Justin Fields,WAS,CHIQ,QB,190,1,1,88,-,-,-,-,-,-,-,-,18.4
6,Alvin Kamara,CIN,NOQ,RB,-,-,-,99,-,6,25,-,-,-,-,-,18.4
6,Dante Pettis,WAS,CHI,WR,-,-,-,-,-,4,84,1,-,-,-,-,18.4
6,Bailey Zappe,CLE,NE,QB,309,2,-,-4,-,1,-6,-,-,-,-,1,18.36
6,Teddy Bridgewater,MIN,MIAQ,QB,329,2,2,10,-,-,-,-,-,-,-,-,18.16
6,A.J. Brown,DAL,PHI,WR,-,-,-,-,-,5,67,1,-,-,-,-,17.7
6,Allen Lazard,NYJ,GB,WR,-,-,-,-,-,4,76,1,-,-,-,-,17.6
6,Allen Robinson,CAR,LAIR,WR,-,-,-,-,-,5,63,1,-,-,-,-,17.3
6,Jimmy Garoppolo,ATL,SFQ,QB,296,2,2,11,-,-,-,-,-,-,-,-,16.94
6,Jalen Hurts,DAL,PHI,QB,155,2,-,27,-,-,-,-,-,-,-,-,16.9
6,Jaylen Waddle,MIN,MIA,WR,-,-,-,-,-,6,129,-,-,-,-,1,16.9
6,Joe Mixon,NO,CINQ,RB,-,-,-,45,-,4,23,1,-,-,-,-,16.8
6,Justin Jefferson,MIA,MIN,WR,-,-,-,-,-,6,107,-,-,-,-,-,16.7
6,Cooper Kupp,CAR,LAIR,WR,-,-,-,17,-,7,80,-,-,-,-,-,16.7
6,Ben Skowronek,CAR,LA,WR,-,-,-,17,1,5,40,-,-,-,-,-,16.7
6,Kirk Cousins,MIA,MIN,QB,175,2,-,-5,-,-,-,-,-,-,1,-,16.5
6,Gabe Davis,KC,BUF,WR,-,-,-,-,-,3,74,1,-,-,-,-,16.4
6,George Kittle,ATL,SF,TE,-,-,-,-,-,8,83,-,-,-,-,-,16.3
6,Hunter Henry,CLE,NE,TE,-,-,-,-,-,4,61,1,-,-,-,-,16.1
6,Lamar Jackson,NYG,BAL,QB,210,1,1,77,-,-,-,-,-,-,-,1,16.1
6,Deebo Samuel,ATL,SF,WR,-,-,-,11,-,7,79,-,-,-,-,-,16
6,Ezekiel Elliott,PHI,DAL,RB,-,-,-,81,1,1,5,-,-,-,-,-,15.6
6,Adam Thielen,MIA,MIN,WR,-,-,-,-,-,4,36,1,-,-,1,-,15.6
6,Chris Godwin,PIT,TB,WR,-,-,-,-,-,6,95,-,-,-,-,-,15.5
6,DeVonta Smith,DAL,PHI,WR,-,-,-,-,-,5,44,1,-,-,-,-,15.4
6,Dalvin Cook,MIA,MIN,RB,-,-,-,77,1,1,6,-,-,-,-,-,15.3
6,Kyler Murray,SEA,ARI,QB,222,-,1,100,-,-,-,-,-,-,-,1,14.88
6,Daniel Bellinger,BAL,NYGQ,TE,-,-,-,-,-,5,38,1,-,-,-,-,14.8
6,Josh Palmer,DEN,LAC,WR,-,-,-,-,-,9,57,-,-,-,-,-,14.7
6,Devin Singletary,KC,BUF,RB,-,-,-,85,-,4,22,-,-,-,-,-,14.7
6,Amari Cooper,NE,CLE,WR,-,-,-,-,-,4,44,1,-,-,-,-,14.4
6,Miles Sanders,DAL,PHI,RB,-,-,-,71,1,1,1,-,-,-,-,-,14.2
6,Zach Ertz,SEA,ARIIR,TE,-,-,-,-,-,7,70,-,-,-,-,-,14
