Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
3,Lamar Jackson,BAL,NE,QB,218,4,1,107,1,-,-,-,-,-,-,-,39.42
3,Jalen Hurts,PHI,WAS,QB,340,3,-,20,-,-,-,-,-,-,-,-,27.6
3,Josh Allen,BUF,MIA,QB,400,2,-,47,-,-,-,-,-,-,-,1,26.7
3,Trevor Lawrence,JAX,LAC,QB,262,3,-,7,-,-,-,-,-,-,1,-,25.18
3,Joe Burrow,CIN,NYJ,QB,275,3,-,-,-,-,-,-,-,-,-,-,23
3,Derek Carr,LV,TEN,QB,303,2,1,17,-,-,-,-,-,-,-,-,19.82
3,Geno Smith,SEA,ATL,QB,325,2,1,-1,-,-,-,-,-,-,-,-,18.9
3,Ryan Tannehill,TEN,LV,QB,264,1,1,2,1,-,-,-,-,-,-,-,18.76
3,Kirk Cousins,MIN,DET,QB,260,2,-,-1,-,-,-,-,-,-,-,-,18.3
3,Jacoby Brissett,CLE,PIT,QB,220,2,-,11,-,-,-,-,-,-,-,-,17.9
3,Patrick Mahomes,KC,IND,QB,262,1,1,26,-,-,-,-,-,-,1,-,17.08
3,Aaron Rodgers,GB,TB,QB,255,2,1,-1,-,-,-,-,-,-,-,-,16.1
3,Mac Jones,NE,BAL,QB,321,-,3,31,1,-,-,-,-,-,-,-,15.94
3,Marcus Mariota,ATL,SEA,QB,229,1,1,4,1,-,-,-,-,-,-,1,15.56
3,Matt Ryan,IND,KC,QB,222,2,-,4,-,-,-,-,-,-,-,1,15.28
3,Mitchell Trubisky,PIT,CLE,QB,207,-,-,7,1,-,-,-,-,-,-,-,14.98
3,Tom Brady,TB,GB,QB,271,1,-,-1,-,-,-,-,-,-,-,-,14.74
3,Jameis Winston,NO,CAR,QB,353,1,2,5,-,-,-,-,-,-,-,-,14.62
3,Jared Goff,DET,MIN,QB,277,1,1,8,-,-,-,-,-,-,-,-,13.88
3,Daniel Jones,NYG,DAL,QB,196,-,1,79,-,-,-,-,-,-,-,-,13.74
3,Kyler Murray,ARI,LA,QB,314,-,-,8,-,-,-,-,-,-,-,-,13.36
3,Justin Herbert,LAC,JAX,QB,297,1,1,7,-,-,-,-,-,-,-,1,12.58
3,Cooper Rush,DAL,NYG,QB,215,1,-,-2,-,-,-,-,-,-,-,-,12.4
3,Tua Tagovailoa,MIA,BUF,QB,186,1,-,-,-,-,-,-,-,-,-,-,11.44
3,Baker Mayfield,CAR,NO,QB,170,1,-,-1,-,-,-,-,-,-,-,-,10.7
3,Matthew Stafford,LA,ARI,QB,249,-,-,2,-,-,-,-,-,-,-,-,10.16
3,Davis Mills,HOU,CHI,QB,245,1,2,-,-,-,-,-,-,-,-,-,9.8
3,Russell Wilson,DEN,SF,QB,184,-,-,17,-,-,-,-,-,-,-,-,9.06
3,Carson Wentz,WAS,PHI,QB,211,-,-,22,-,-,-,-,-,-,-,1,8.64
3,Jimmy Garoppolo,SF,DEN,QB,211,1,1,-,-,-,-,-,-,-,-,1,8.44
3,Justin Fields,CHI,HOU,QB,106,-,2,47,-,-,-,-,-,-,-,-,4.94
3,Joe Flacco,NYJ,CIN,QB,285,-,2,-,-,-,-,-,-,-,-,2,3.4
3,C.J. Beathard,JAX,LAC,QB,-,-,-,-1,-,-,-,-,-,-,-,-,-0.1
3,Khalil Herbert,CHI,HOU,RB,-,-,-,157,2,2,12,-,-,-,-,-,30.9
3,Derrick Henry,TEN,LV,RB,-,-,-,85,1,5,58,-,-,-,-,-,25.3
3,Jamaal Williams,DET,MIN,RB,-,-,-,87,2,2,20,-,-,-,-,-,24.7
3,Devin Singletary,BUF,MIA,RB,-,-,-,13,-,9,78,1,-,-,-,-,24.1
3,Saquon Barkley,NYG,DAL,RB,-,-,-,81,1,4,45,-,-,-,-,-,22.6
3,Cordarrelle Patterson,ATL,SEA,RB,-,-,-,141,1,1,12,-,-,-,-,-,22.3
3,James Robinson,JAX,LAC,RB,-,-,-,100,1,3,16,-,-,-,-,-,20.6
3,Rhamondre Stevenson,NE,BAL,RB,-,-,-,73,1,4,28,-,-,-,-,-,20.1
3,Dameon Pierce,HOU,CHI,RB,-,-,-,80,1,2,21,-,-,-,-,-,18.1
3,Nick Chubb,CLE,PIT,RB,-,-,-,113,1,-,-,-,-,-,-,-,17.3
3,Melvin Gordon,DEN,SF,RB,-,-,-,26,1,5,29,-,-,-,-,-,16.5
3,Chase Edmonds,MIA,BUF,RB,-,-,-,21,2,1,6,-,-,-,-,-,15.7
3,Breece Hall,NYJ,CIN,RB,-,-,-,39,-,6,53,-,-,-,-,-,15.2
3,Clyde Edwards-Helaire,KC,IND,RB,-,-,-,-,1,5,39,-,-,-,-,-,14.9
3,Josh Jacobs,LV,TEN,RB,-,-,-,66,-,5,31,-,-,-,-,-,14.7
3,Ezekiel Elliott,DAL,NYG,RB,-,-,-,73,1,1,2,-,-,-,-,-,14.5
3,Samaje Perine,CIN,NYJ,RB,-,-,-,47,-,2,14,1,-,-,-,-,14.1
3,Dalvin Cook,MIN,DET,RB,-,-,-,96,1,-,-,-,-,-,-,1,13.6
3,Christian McCaffrey,CAR,NO,RB,-,-,-,108,-,2,7,-,-,-,-,-,13.5
3,Austin Ekeler,LAC,JAX,RB,-,-,-,5,-,8,48,-,-,-,-,-,13.3
3,Najee Harris,PIT,CLE,RB,-,-,-,56,1,3,5,-,-,-,-,1,13.1
3,Damien Harris,NE,BAL,RB,-,-,-,41,1,2,5,-,-,-,-,-,12.6
3,Jonathan Taylor,IND,KC,RB,-,-,-,71,-,3,20,-,-,-,-,-,12.1
3,Leonard Fournette,TB,GB,RB,-,-,-,35,-,5,35,-,-,-,-,-,12
3,Jeff Wilson,SF,DEN,RB,-,-,-,75,-,3,31,-,-,-,-,1,11.6
3,Alexander Mattison,MIN,DET,RB,-,-,-,28,1,1,16,-,-,-,-,-,11.4
3,Antonio Gibson,WAS,PHI,RB,-,-,-,38,1,1,2,-,-,-,-,-,11
3,Travis Etienne,JAX,LAC,RB,-,-,-,45,-,3,30,-,-,-,-,-,10.5
3,Tony Pollard,DAL,NYG,RB,-,-,-,105,-,-,-,-,-,-,-,-,10.5
3,Cam Akers,LA,ARI,RB,-,-,-,61,1,-,-,-,-,-,-,1,10.1
3,J.D. McKissic,WAS,PHI,RB,-,-,-,8,-,6,32,-,-,-,-,-,10
3,Kareem Hunt,CLE,PIT,RB,-,-,-,47,-,3,14,-,-,-,-,-,9.1
3,Javonte Williams,DEN,SF,RB,-,-,-,58,-,3,2,-,-,-,-,-,9
3,James Conner,ARI,LA,RB,-,-,-,39,-,3,18,-,-,-,-,-,8.7
3,James Cook,BUF,MIA,RB,-,-,-,3,-,4,37,-,-,-,-,-,8
3,Nyheim Hines,IND,KC,RB,-,-,-,7,-,5,23,-,-,-,-,-,8
3,Rashaad Penny,SEA,ATL,RB,-,-,-,66,-,1,3,-,-,-,-,-,7.9
3,Mark Ingram,NO,CAR,RB,-,-,-,18,1,-,-,-,-,-,-,-,7.8
3,D'Andre Swift,DET,MIN,RB,-,-,-,31,-,3,15,-,-,-,-,-,7.6
3,Alvin Kamara,NO,CAR,RB,-,-,-,61,-,2,12,-,-,-,-,1,7.3
3,Rex Burkhead,HOU,CHI,RB,-,-,-,9,-,4,21,-,-,-,-,-,7
3,Joe Mixon,CIN,NYJ,RB,-,-,-,24,-,3,14,-,-,-,-,-,6.8
3,Kenneth Walker III,SEA,ATL,RB,-,-,-,19,-,3,14,-,-,-,-,-,6.3
3,Zack Moss,BUF,MIA,RB,-,-,-,46,-,1,6,-,-,-,-,-,6.2
3,J.K. Dobbins,BAL,NE,RB,-,-,-,23,-,2,17,-,-,-,-,-,6
3,Justice Hill,BAL,NE,RB,-,-,-,60,-,-,-,-,-,-,-,-,6
3,DeeJay Dallas,SEA,ATL,RB,-,-,-,21,-,2,17,-,-,-,-,-,5.8
3,AJ Dillon,GB,TB,RB,-,-,-,32,-,2,6,-,-,-,-,-,5.8
3,Aaron Jones,GB,TB,RB,-,-,-,36,-,3,11,-,-,-,-,1,5.7
3,Michael Carter,NYJ,CIN,RB,-,-,-,39,-,1,7,-,-,-,-,-,5.6
3,Dontrell Hilliard,TEN,LV,RB,-,-,-,14,-,1,30,-,-,-,-,-,5.4
3,Miles Sanders,PHI,WAS,RB,-,-,-,46,-,1,-2,-,-,-,-,-,5.4
3,Eno Benjamin,ARI,LA,RB,-,-,-,16,-,2,7,-,-,-,-,-,4.3
3,Jaylen Warren,PIT,CLE,RB,-,-,-,30,-,1,3,-,-,-,-,-,4.3
3,Brandon Bolden,LV,TEN,RB,-,-,-,17,-,2,4,-,-,-,-,-,4.1
3,Sony Michel,LAC,JAX,RB,-,-,-,22,-,1,9,-,-,-,-,-,4.1
3,Tyler Allgeier,ATL,SEA,RB,-,-,-,25,-,1,5,-,-,-,-,-,4
3,C.J. Ham,MIN,DET,RB,-,-,-,-,-,2,15,-,-,-,-,-,3.5
3,Kyle Juszczyk,SF,DEN,RB,-,-,-,-,-,1,24,-,-,-,-,-,3.4
3,Craig Reynolds,DET,MIN,RB,-,-,-,13,-,1,5,-,-,-,-,-,2.8
3,Chuba Hubbard,CAR,NO,RB,-,-,-,25,-,-,-,-,-,-,-,-,2.5
3,Trestan Ebner,CHI,HOU,RB,-,-,-,23,-,-,-,-,-,-,-,-,2.3
3,Joshua Kelley,LAC,JAX,RB,-,-,-,-3,-,2,6,-,-,-,-,-,2.3
3,Patrick Ricard,BAL,NE,RB,-,-,-,-,-,1,12,-,-,-,-,-,2.2
3,Jerick McKinnon,KC,IND,RB,-,-,-,20,-,-,-,-,-,-,-,-,2
3,Darrell Henderson,LA,ARI,RB,-,-,-,17,-,-,-,-,-,-,-,-,1.7
3,Chris Evans,CIN,NYJ,RB,-,-,-,-,-,1,4,-,-,-,-,-,1.4
3,Trayveon Williams,CIN,NYJ,RB,-,-,-,14,-,-,-,-,-,-,-,-,1.4
3,David Montgomery,CHI,HOU,RB,-,-,-,11,-,-,-,-,-,-,-,-,1.1
3,Raheem Mostert,MIA,BUF,RB,-,-,-,11,-,-,-,-,-,-,-,-,1.1
3,Isiah Pacheco,KC,IND,RB,-,-,-,9,-,-,-,-,-,-,-,-,0.9
3,Travis Homer,SEA,ATL,RB,-,-,-,7,-,-,-,-,-,-,-,-,0.7
3,Jordan Mason,SF,DEN,RB,-,-,-,7,-,-,-,-,-,-,-,-,0.7
3,Darrel Williams,ARI,LA,RB,-,-,-,7,-,-,-,-,-,-,-,-,0.7
3,Kenneth Gainwell,PHI,WAS,RB,-,-,-,6,-,-,-,-,-,-,-,-,0.6
3,Jonathan Williams,WAS,PHI,RB,-,-,-,6,-,-,-,-,-,-,-,-,0.6
3,Matt Breida,NYG,DAL,RB,-,-,-,3,-,-,-,-,-,-,-,-,0.3
3,Michael Burton,KC,IND,RB,-,-,-,2,-,-,-,-,-,-,-,-,0.2
3,DeVonta Smith,PHI,WAS,WR,-,-,-,-,-,8,169,1,-,-,-,-,30.9
3,Mack Hollins,LV,TEN,WR,4,-,-,-,-,8,158,1,-,-,-,-,29.96
3,Marquise Brown,ARI,LA,WR,-,-,-,-,-,14,140,-,-,-,-,-,28
